"","guilty","strength","gunstrength","probability","gunprob","check1","firetestcred","algtestcred","overrel","examrel","algrel","examsci","oversci","algsci","expunder","algunder","mistakes","firerel","check2","firesci","unique","harm","time","scenario_number","fingerprint","algorithm","picture","conclusion","typos"
"140","Yes","8.0","9 <br/> Extremely strong",98,99,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658357031.65351,10,"9a66249b836097cd2ed1f4a64ca44471","Yes","Yes","Match","Uncorrected"
"141","No","4.0","3.0",35,30,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Extremely scientific","4.0","4.0","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658357141.05245,12,"4564ce4f2dd1abe108237dcf95889e36","Yes","Yes","NoMatch","Uncorrected"
"142","No","3.0","2.0",20,20,"9mm","Moderately credible","Extremely credible","Moderately unreliable","Weakly reliable","Weakly reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Weakly reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658357304.29052,8,"470eb8bfc52fbae92bdcf20a5ee8249b","Yes","No","Inconclusive","Uncorrected"
"143","No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,0,"9mm","Extremely credible","Neither credible nor noncredible","Extremely unreliable","Extremely reliable","Neither reliable nor unreliable","Extremely scientific","Extremely scientific","Neither scientific nor unscientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658358144.72352,12,"9515f75d3676abf5ac48a9c866646dad","Yes","Yes","NoMatch","Uncorrected"
"144","No","2.0","2.0",9,15,"9mm","Moderately credible","Moderately credible","Extremely unreliable","Weakly unreliable","Moderately reliable","Moderately unscientific","Weakly scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Weakly reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658358165.84491,12,"7ba3e24609e4c624207d11832ed10502","Yes","Yes","NoMatch","Uncorrected"
"145","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,0,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","1 <br/> I understood nothing","1 <br/> I understood nothing","Sometimes","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658359259.25829,9,"2d1f57308a26ad18c93d9d710a86c456","Yes","No","NoMatch","Uncorrected"
"146","No","5 <br/> Moderately strong","6.0",70,80,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Neither reliable nor unreliable","Weakly scientific","Weakly scientific","Weakly scientific","4.0","4.0","Occasionally","Moderately unreliable","Moderately reliable","Weakly unscientific","Yes","Erroneously convicting an innocent person",1658359338.21555,11,"9a6e6cbfefe44f26ece8507b06a96a37","Yes","Yes","Inconclusive","Uncorrected"
"147","Yes","8.0","8.0",96,89,"9mm","Extremely credible","Moderately credible","Moderately reliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658360028.8922,10,"34ca35931b5134ee1631e980e2ffd72c","Yes","Yes","Match","Uncorrected"
"148","Yes","7.0","8.0",82,95,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658360045.56107,10,"887522c818321755ffffd308a21bb9d0","Yes","Yes","Match","Uncorrected"
"149","Yes","8.0","8.0",93,96,"9mm","Moderately credible","Extremely credible","Extremely reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658360384.78991,12,"c8d2e9f86168486338c7a66bc9075be4","Yes","Yes","NoMatch","Uncorrected"
"150","No","2.0","2.0",8,5,"9mm","Extremely credible","Moderately credible","Extremely reliable","Extremely reliable","Weakly reliable","Moderately scientific","Moderately scientific","Weakly scientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658360720.08277,12,"1b2be54363a508f0bbf4db90df852c1e","Yes","Yes","NoMatch","Uncorrected"
"151","No","4.0","3.0",38,37,"9mm","Moderately credible","Extremely credible","Weakly unreliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658361103.09544,8,"3c42c0eafe70e37c06ee39b4bfb71413","Yes","No","Inconclusive","Uncorrected"
"152","Yes","9 <br/> Extremely strong","8.0",91,97,"Rifle slug","Neither credible nor noncredible","Extremely credible","Moderately reliable","Weakly reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Occasionally","Neither reliable nor unreliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658363611.01452,11,"e35f72b4184ba7b960613bc8c9b8cddf","Yes","Yes","Inconclusive","Uncorrected"
"153","No","2.0","1 <br/> Not at all strong",10,5,"9mm","Moderately credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658363738.05194,12,"74a6bb7d74b6f18db00ea2d70401adf5","Yes","Yes","NoMatch","Uncorrected"
"154","Yes","8.0","9 <br/> Extremely strong",90,90,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Moderately scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658363855.58563,10,"2a6709ab950c1fec6d8e2d33357af9f2","Yes","Yes","Match","Uncorrected"
"155","Yes","9 <br/> Extremely strong","9 <br/> Extremely strong",98,98,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658364712.4675,7,"b2540df79a1ca3176632b711481add1b","Yes","No","Match","Uncorrected"
"156","No","6.0","7.0",85,90,"9mm","Moderately credible","Moderately credible","Extremely reliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658365481.75854,10,"cdd2458b05be7978bf58bde28b3bb01e","Yes","Yes","Match","Uncorrected"
"157","No","1 <br/> Not at all strong","1 <br/> Not at all strong",3,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658365675.89739,9,"ea677d49b35e7ea99c6df0b596507ae0","Yes","No","NoMatch","Uncorrected"
"159","No","4.0","3.0",21,11,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658365798.30692,9,"c6d4a90c2207ff271a053ace8eb84c04","Yes","No","NoMatch","Uncorrected"
"160","No","4.0","2.0",25,15,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Extremely reliable","Extremely scientific","Moderately scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658366396.699,12,"04167de790b0d77a47e2ea92e2b7d62e","Yes","Yes","NoMatch","Uncorrected"
"161","Yes","6.0","7.0",86,96,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Neither scientific nor unscientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658366488.85306,7,"d7789444179bdfbf5d5b6b0714c08a37","Yes","No","Match","Uncorrected"
"162","Yes","3.0","1 <br/> Not at all strong",23,20,"9mm","Extremely credible","Moderately credible","Moderately unreliable","Moderately unreliable","Weakly reliable","Moderately scientific","Moderately scientific","Weakly scientific","3 <br/> I understood about half of the method","2.0","Frequently","Neither reliable nor unreliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658366763.79296,11,"33b1188fe43d5f591fe51372809d802b","Yes","Yes","Inconclusive","Uncorrected"
"163","Yes","8.0","8.0",96,97,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658367123.46876,7,"cf0cb37cce68cf8b7eff114dd606150f","Yes","No","Match","Uncorrected"
"164","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,5,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658367699.47187,11,"b3936c137420529d5ca5bb418a2aa16b","Yes","Yes","Inconclusive","Uncorrected"
"165","Yes","5 <br/> Moderately strong","8.0",90,98,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658367740.39907,10,"6fbe157422d15b1a3193f210ecccee77","Yes","Yes","Match","Uncorrected"
"166","No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,1,"22mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658368533.54509,12,"23e53370a7af9eb5da86cbcafb8424ea","Yes","Yes","NoMatch","Uncorrected"
"167","No","2.0","2.0",6,3,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658370185.00324,9,"ea19854bf7594d1750471bb338f8a792","Yes","No","NoMatch","Uncorrected"
"168","No","6.0","8.0",90,96,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658370559.09792,10,"fe9b3f108ba08c2c17dd0080fd0fb761","Yes","Yes","Match","Uncorrected"
"169","No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658415328.00412,9,"e0057178b1df226ac606a3cc7454792e","Yes","No","NoMatch","Corrected"
"170","No","2.0","1 <br/> Not at all strong",1,1,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658415800.58734,9,"3803ecabd0ee2e0e590f8c55141fa4ad","Yes","No","NoMatch","Corrected"
"171","Yes","8.0","8.0",95,95,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658416016.72474,10,"549d3453a9b54d388e3e5297b67ea283","Yes","Yes","Match","Corrected"
"173","Yes","7.0","8.0",50,80,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Moderately reliable","Extremely scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658423821.92573,7,"0f6c7cfcdb50887be08306d68be20d8b","Yes","No","Match","Corrected"
"174","No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,1,"9mm","Moderately credible","Extremely credible","Moderately unreliable","Extremely reliable","Extremely reliable","Moderately scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Frequently","Moderately unreliable","Moderately reliable","Neither scientific nor unscientific","No","Erroneously convicting an innocent person",1658424488.8342,12,"6c40a1101ecd9e4c0028d9240068ad0f","Yes","Yes","NoMatch","Corrected"
"175","No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,3,"9mm","Moderately credible","Extremely credible","Extremely reliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Moderately scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658424738.65487,9,"0079a03983c345457dd6fbe059ac7867","Yes","No","NoMatch","Corrected"
"176","No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658424921.33193,9,"6e114cd6471c902fefe4290d171801ee","Yes","No","NoMatch","Corrected"
"177","No","2.0","2.0",20,20,"9mm","Extremely credible","Extremely credible","Neither reliable nor unreliable","Extremely reliable","Extremely reliable","Moderately scientific","Moderately scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658425206.60655,11,"46e553fef0c32bd89e643f50ad148534","Yes","Yes","Inconclusive","Corrected"
"178","No","4.0","2.0",20,10,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Moderately scientific","Extremely scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658425221.20413,9,"042a59f326415c8f99efe15bb4a82c7a","Yes","No","NoMatch","Corrected"
"179","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658425344.99823,12,"7a06e72c1e21751dab101698916b3765","Yes","Yes","NoMatch","Corrected"
"180","No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Moderately reliable","Extremely scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658425544.49411,12,"e2664b57cf69079c83d6e84b4fa810fa","Yes","Yes","NoMatch","Corrected"
"181","No","1 <br/> Not at all strong","1 <br/> Not at all strong",3,3,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658425655.18698,11,"c2081654665b60932207e0d89d40170c","Yes","Yes","Inconclusive","Corrected"
"182","No","2.0","1 <br/> Not at all strong",15,3,"9mm","Extremely credible","Extremely credible","Moderately unreliable","Extremely reliable","Extremely reliable","Moderately scientific","Neither scientific nor unscientific","Moderately scientific","4.0","5 <br/> I understood everything","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658426407.98836,9,"cef024949ebc0a62e378a39a0c00c854","Yes","No","NoMatch","Corrected"
"183","No","3.0","2.0",40,40,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658426999.5354,11,"9f56034474823b361396892581fe1b2d","Yes","Yes","Inconclusive","Corrected"
"184","No","2.0","1 <br/> Not at all strong",35,45,"22mm","Extremely credible","Extremely credible","Weakly reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658427191.98865,11,"c43757dc660d6d2fd3db0cf9a37eabad","Yes","Yes","Inconclusive","Corrected"
"185","Yes","8.0","8.0",88,91,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658427424.67356,7,"79f56cc07d7d04a44156e0430159e7f5","Yes","No","Match","Corrected"
"186","No","3.0","3.0",20,19,"9mm","Moderately credible","Moderately credible","Moderately reliable","Weakly reliable","Weakly reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658427676.71399,11,"6c539a19eb6b6c92a43a662e0cff84e3","Yes","Yes","Inconclusive","Corrected"
"187","No","2.0","2.0",24,23,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Neither reliable nor unreliable","Weakly reliable","Neither scientific nor unscientific","Weakly scientific","Weakly scientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","Erroneously convicting an innocent person",1658427807.74665,8,"2b003d69546e3c6e7a4c60655ba7f34f","Yes","No","Inconclusive","Corrected"
"188","Yes","7.0","8.0",88,93,"9mm","Extremely credible","Moderately credible","Moderately reliable","Extremely reliable","Extremely reliable","Moderately scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","4.0","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658427844.86861,8,"948fd0da8d553bfa790adc230a2697a1","Yes","No","Inconclusive","Corrected"
"189","No","5 <br/> Moderately strong","5 <br/> Moderately strong",39,60,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Moderately reliable","Weakly reliable","Moderately scientific","Neither scientific nor unscientific","Neither scientific nor unscientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","No","The errors are equally bad",1658428566.31002,11,"adb2f133c0503d0502c29bd0cf6a6974","Yes","Yes","Inconclusive","Corrected"
"190","No","4.0","8.0",40,90,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","4.0","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658429015.86175,10,"b0d90bb14f80246884413a1f1bb4d7cd","Yes","Yes","Match","Corrected"
"191","No","7.0","7.0",90,95,"9mm","Moderately credible","Moderately credible","Moderately reliable","Weakly reliable","Moderately reliable","Weakly unscientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658429460.56853,10,"8040c8fd42bbc4e43b48d7111df13134","Yes","Yes","Match","Corrected"
"192","No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,1,"9mm","Moderately credible","Moderately credible","Extremely unreliable","Moderately reliable","Extremely unreliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely unreliable","Moderately reliable","Extremely unscientific","Yes","Erroneously convicting an innocent person",1658430752.68756,12,"7a0d1baaca79b9c4f29b57763e27b93c","Yes","Yes","NoMatch","Corrected"
"193","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,1,"9mm","Moderately credible","Moderately credible","Moderately reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658431352.15766,12,"b236cbcdcb76ba4d17e3c217150d8bd6","Yes","Yes","NoMatch","Corrected"
"194","No","3.0","2.0",36,25,"9mm","Extremely credible","Neither credible nor noncredible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Moderately scientific","Extremely scientific","4.0","2.0","Occasionally","Weakly reliable","Moderately reliable","Weakly scientific","Yes","Erroneously convicting an innocent person",1658431411.25354,8,"7cee949d58edef8266d2ef9662c30d60","Yes","No","Inconclusive","Corrected"
"196","No","2.0","9 <br/> Extremely strong",80,99,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Moderately scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658432600.83239,10,"a33b5a14a49a37b5838a882043a085ee","Yes","Yes","Match","Corrected"
"197","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,10,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658432767.67549,11,"59a3a7156a994b7c03b91ba0c1b30c88","Yes","Yes","Inconclusive","Corrected"
"198","No","3.0","3.0",30,30,"9mm","Weakly credible","Moderately credible","Moderately unreliable","Moderately unreliable","Weakly unreliable","Extremely unscientific","Moderately unscientific","Moderately unscientific","5 <br/> I understood everything","4.0","Rarely","Moderately unreliable","Moderately reliable","Extremely unscientific","No","Erroneously convicting an innocent person",1658432983.22561,8,"b5c29bb0677c76dc2f8282bf144483a5","Yes","No","Inconclusive","Corrected"
"199","Yes","8.0","8.0",90,95,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Weakly scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658433816.14137,7,"ef0c3bb0d488f9ccce7eecfb078bc810","Yes","No","Match","Corrected"
"200","No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658434375.90668,9,"83d2b8ced3b5479db3dce4b258c17c1e","Yes","No","NoMatch","Corrected"
"201","No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,3,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Weakly reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Weakly reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658434410.11814,12,"942d5d4830dd178de58b66c323ff536b","Yes","Yes","NoMatch","Corrected"
"202","No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658435254.76189,9,"643ba36ca3d621ab78beed3ce225534f","Yes","No","NoMatch","Corrected"
"203","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,1,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658436380.94273,12,"5e598753907d871d910734dec7c868f5","Yes","Yes","NoMatch","Corrected"
"204","No","3.0","2.0",40,20,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658436414.91397,11,"4ad343943d6ad7e90e6ccae409368d0c","Yes","Yes","Inconclusive","Corrected"
"205","No","9 <br/> Extremely strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Extremely unreliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Occasionally","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658436697.37939,8,"f8eb8e4ae0515618744b24ec3a7eb2ec","Yes","No","Inconclusive","Corrected"
"206","No","2.0","2.0",11,10,"9mm","Moderately credible","Moderately credible","Moderately unreliable","Moderately unreliable","Moderately unreliable","Moderately unscientific","Moderately unscientific","Moderately unscientific","5 <br/> I understood everything","4.0","Sometimes","Moderately unreliable","Moderately reliable","Moderately unscientific","No","The errors are equally bad",1658436912.71442,10,"22d86957686c23247dfb4f0a69dfa2a7","Yes","Yes","Match","Corrected"
"207","No","1 <br/> Not at all strong","1 <br/> Not at all strong",20,20,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658436975.0476,8,"09209857d2d7ba273311b63a2c584fbe","Yes","No","Inconclusive","Corrected"
