"","race","gender","age","income","gunown","guncomfort","time.x","conclusion.x","random_number","actual_time1","educ","vote","poli","arrest","state","jury","jurycrim","time.y","conclusion.y","actual_time2","guilty","strength","prob_hide","check","guilt_free_num","guilt_free_denom","innocent_free_num","innocent_free_denom","prob_vis","guilt_bet","innocent_bet","fixed_like","time.x.x","conclusion.x.x","page_count","opinion_guilt","open_info","actual_time3","order","time.y.y","conclusion.y.y","clean_prints","clean_id"
"51","White","Male","26 - 35","$80,000 - $89,999","No","Extremely Uncomfortable",1685800287.34799,"Match",0.0974264745600522,"2023-06-03 08:51:27","Professional degree","Democratic","Very Liberal","Yes","PA","No","N/A",1685800300.83044,"Match","2023-06-03 08:51:40","No","1 <br/> Not at all strong",4,"9mm",1,1e+05,NA,NA,5,NA,40,"About 1 chance in 10,000",1685800383.00266,"Match",24,"No","I don't believe that Richard Cole was the person who committed the attempted robbery. ","2023-06-03 08:53:03",3142675,1685800287.3572,"Match",93,174
"52","White","Male","46 - 55","$20,000 - $29,999","No","Extremely Uncomfortable",1685800476.91174,"Match",0.850047812797129,"2023-06-03 08:54:36","4 year degree","Democratic","Somewhat Liberal","No","MD","No","N/A",1685800494.14712,"Match","2023-06-03 08:54:54","No","6",91,"9mm",9,10,NA,NA,98,NA,40,"About 9 chances in 10",1685801625.82132,"Match",24,"No","None of the testimony dealt with Mr. Cole. My opinion of him was not changed. I beleive he is innocent until proven guilty.","2023-06-03 09:13:45",7312546,1685800476.91843,"Match",233,270
"53","White","Female","56 - 65","$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1685801995.37283,"NoMatch",0.483259727014229,"2023-06-03 09:19:55","4 year degree","No consistent preference","Middle of the Road","No","CA","No","No",1685802032.28687,"NoMatch","2023-06-03 09:20:32","No","1 <br/> Not at all strong",6,"9mm",1,90,NA,NA,7,NA,50,"About 1 chance in 100",1685802607.43845,"NoMatch",24,"No","He's innocent","2023-06-03 09:30:07",7261345,1685801995.37907,"NoMatch",89,151
"54","White, Hispanic","Female","26 - 35","$50,000 - $59,999","No","Extremely Uncomfortable",1685802117.47073,"NoMatch",0.391549064544961,"2023-06-03 09:21:57","Some college","Democratic","Very Liberal","No","NE","No","N/A",1685802127.74754,"NoMatch","2023-06-03 09:22:07","No","2",9,"9mm",1,10,NA,NA,10,NA,45,"About 1 chance in 10",1685802913.26153,"NoMatch",24,"No","Based on the information, I don't think he did the crime","2023-06-03 09:35:13",2673541,1685802117.47816,"NoMatch",19,189
"55","White","Male","26 - 35","$30,000 - $39,999","No","Moderately Comfortable",1685804355.42551,"Match",0.972325665643439,"2023-06-03 09:59:15","Some college","Democratic","Very Liberal","No","WA","No","N/A",1685804380.38503,"Match","2023-06-03 09:59:40","Yes","6",83,"9mm",NA,NA,1,10,90,20,NA,"About 99 chances in 100",1685805259.50731,"Match",24,"Yes","I think the defendant's gun was used to fire the bullet for sure. I am considering if it was the Richard Cole or perhaps someone else who has access to that gone who committed the robbery, though.","2023-06-03 10:14:19",7516342,1685804355.44226,"Match",33,241
"56","White","Other/non-binary","26 - 35","$30,000 - $39,999","No","Slightly Comfortable",1685804496.88798,"NoMatch",0.302237479249015,"2023-06-03 10:01:36","Some college","Democratic","Very Liberal","Yes","TX","No","N/A",1685804523.14008,"NoMatch","2023-06-03 10:02:03","No","1 <br/> Not at all strong",0,"9mm",0,1,NA,NA,0,NA,50,"Impossible that he is guilty",1685806354.62998,"NoMatch",24,"No","Innocent, lazily picked by cop during a (from what I can gather illegal) search of his vehicle","2023-06-03 10:32:34",5362741,1685804496.89421,"NoMatch",230,199
"57","White","Female","18 - 25","More than $150,000","No","Moderately Uncomfortable",1685804996.9688,"NoMatch",0.861334778368473,"2023-06-03 10:09:56","Some college","Democratic","Very Liberal","No","TX","No","N/A",1685805011.08031,"NoMatch","2023-06-03 10:10:11","No","2",6,"9mm",1,80,NA,NA,6,NA,20,"About 1 chance in 100",1685805335.57193,"NoMatch",24,"No","I think the defendant is likely innocent of the crime with which he is charged.","2023-06-03 10:15:35",6724513,1685804996.98026,"NoMatch",206,164
"58","Black or African American","Female","26 - 35","$20,000 - $29,999","No","Moderately Uncomfortable",1685805249.53874,"Match",0.652881578309461,"2023-06-03 10:14:09","4 year degree","Democratic","Somewhat Liberal","No","OH","Yes","No",1685805274.62687,"Match","2023-06-03 10:14:34","Yes","6",88,"9mm",NA,NA,1,50,90,25,NA,"About 9 chances in 10",1685806008.38928,"Match",24,"Yes","I think that the defendant may be guilty of the crime. ","2023-06-03 10:26:48",1273546,1685805249.54498,"Match",74,96
"59","White","Female","18 - 25","More than $150,000","No","Slightly Uncomfortable",1685805534.43871,"NoMatch",0.267952320398763,"2023-06-03 10:18:54","4 year degree","Democratic","Somewhat Liberal","No","WA","No","N/A",1685805548.2503,"NoMatch","2023-06-03 10:19:08","No","1 <br/> Not at all strong",4,"9mm",1,90,NA,NA,3,NA,45,"About 1 chance in 100",1685806155.32724,"NoMatch",24,"No","I think the defendant is not guilty","2023-06-03 10:29:15",3614275,1685805534.45381,"NoMatch",233,109
"60","White","Female","26 - 35","$70,000 - $79,999","No","Moderately Comfortable",1685806690.17849,"Match",0.0224516910966486,"2023-06-03 10:38:10","Professional degree","Democratic","Somewhat Liberal","No","NM","No","N/A",1685806713.643,"Match","2023-06-03 10:38:33","Yes","8",99,"9mm",NA,NA,1,100,98,45,NA,"About 99 chances in 100",1685807188.39508,"Match",24,"Yes","I believe the defendant is guilty and shot the firearm in the store","2023-06-03 10:46:28",2634517,1685806690.18973,"Match",83,171
"61","Asian","Female","18 - 25","$40,000 - $49,999","No","Extremely Uncomfortable",1685806821.56176,"Match",0.548554971581325,"2023-06-03 10:40:21","4 year degree","Democratic","Very Liberal","No","TX","No","N/A",1685806844.48136,"Match","2023-06-03 10:40:44","Yes","6",91,"9mm",NA,NA,1,100,90,25,NA,"About 99 chances in 100",1685807610.78507,"Match",24,"Yes","I think that the defendant's firearm was discharged at the convenience store, it was likely done by the defendant but the jury could not be 100% sure it was indeed the defendant.","2023-06-03 10:53:30",2753641,1685806821.56857,"Match",125,68
"62","White","Female","18 - 25","Less than $10,000","No","Extremely Uncomfortable",1685808285.17565,"Match",0.775976804550737,"2023-06-03 11:04:45","Some college","Democratic","Very Liberal","No","TX","No","N/A",1685808286.92686,"Match","2023-06-03 11:04:46","Yes","8",91,"9mm",NA,NA,1,70,90,40,NA,"About 999 chances in 1,000",1685808744.13489,"Match",24,"Yes","Guilty","2023-06-03 11:12:24",2746351,1685808285.19072,"Match",233,206
"63","Hispanic","Female","26 - 35","$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1685808297.93474,"NoMatch",0.751992489211261,"2023-06-03 11:04:57","2 year degree","Democratic","Somewhat Liberal","No","NY","Yes","Yes",1685808316.8152,"NoMatch","2023-06-03 11:05:16","No","2",11,"9mm",1,10000,NA,NA,10,NA,30,"About 1 chance in 10,000",1685809264.26729,"NoMatch",24,"No","I think he is innocent and there was not enough reason to prosecute him of firing the gun in the store. ","2023-06-03 11:21:04",4516372,1685808297.941,"NoMatch",170,87
"64","White","Female","36 - 45","$70,000 - $79,999","Yes","Extremely Comfortable",1685808351.74386,"Match",0.800843829987571,"2023-06-03 11:05:51","2 year degree","Democratic","Very Liberal","No","OK","No","N/A",1685808374.63738,"Match","2023-06-03 11:06:14","Yes","9 <br/> Extremely strong",99,"9mm",NA,NA,1,10000,99,50,NA,"About 9,999 chances in 10,000",1685808747.2602,"Match",24,"Yes","I believe the defendant is guilty.","2023-06-03 11:12:27",7316245,1685808351.75038,"Match",27,30
"65","White","Female","18 - 25","$70,000 - $79,999","No","Slightly Uncomfortable",1685809606.58657,"NoMatch",0.00261982413940132,"2023-06-03 11:26:46","Some college","No consistent preference","Somewhat Conservative","No","SC","No","N/A",1685809618.45342,"NoMatch","2023-06-03 11:26:58","No","2",10,"9mm",1,10,NA,NA,13,NA,30,"About 1 chance in 1,000",1685810140.81881,"NoMatch",24,"No","I think he might be innocent.","2023-06-03 11:35:40",2763154,1685809606.59585,"NoMatch",228,153
"66","White","Female","36 - 45","Less than $10,000","No","Extremely Uncomfortable",1685809615.14594,"Match",0.585165124386549,"2023-06-03 11:26:55","Doctorate","No consistent preference","Middle of the Road","No","VA","No","N/A",1685809637.57698,"Match","2023-06-03 11:27:17","No","5 <br/> Moderately strong",50,"9mm",1,2,NA,NA,50,NA,25,"1 chance in 2 (fifty-fifty chance)",1685810374.94136,"Match",24,"No","I am not convinced that he is guilty. He could have been framed (someone else could have fired his gun); and although the likelihood is slight, it is possible that Terry Smith is incorrect about the bullets being fired from the same gun. I need more evidence to convince me of his guilt.","2023-06-03 11:39:34",1467253,1685809615.15411,"Match",24,137
"67","White","Female","26 - 35","$50,000 - $59,999","No","Moderately Uncomfortable",1685809669.33069,"NoMatch",0.5682228715159,"2023-06-03 11:27:49","High school graduate","Democratic","Very Liberal","No","KY","No","N/A",1685809690.77154,"NoMatch","2023-06-03 11:28:10","No","1 <br/> Not at all strong",2,"9mm",1,50,NA,NA,2,NA,50,"About 1 chance in 100",1685810404.67497,"NoMatch",24,"No","I don't think there is enough evidence to say that the defendant is guilty. So I'd say he is innocent and did not fire the gun at the convenience store.","2023-06-03 11:40:04",1635724,1685809669.34326,"NoMatch",229,27
"68","Black or African American","Male","46 - 55","$70,000 - $79,999","No","Extremely Uncomfortable",1685809671.31396,"NoMatch",0.466975867981091,"2023-06-03 11:27:51","4 year degree","Republican","Somewhat Liberal","No","MS","No","N/A",1685809736.14644,"NoMatch","2023-06-03 11:28:56","No","2",1,"9mm",1,20,NA,NA,10,NA,50,"About 1 chance in 1,000",1685810953.79519,"NoMatch",24,"No","I think the defendant, Richard Cole is innocent.","2023-06-03 11:49:13",6124735,1685809671.32528,"NoMatch",109,236
"69","White","Female","36 - 45","More than $150,000","No","Extremely Uncomfortable",1685811262.73405,"NoMatch",0.114721355959773,"2023-06-03 11:54:22","Professional degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1685811278.1569,"NoMatch","2023-06-03 11:54:38","No","1 <br/> Not at all strong",3,"9mm",1,1e+06,NA,NA,3,NA,50,"About 1 chance in 10,000",1685811834.03803,"NoMatch",24,"No","Not guilty","2023-06-03 12:03:54",2475361,1685811262.74371,"NoMatch",231,81
"70","White","Male","18 - 25","More than $150,000","No","Neither Comfortable nor Uncomfortable",1685811359.74717,"Match",0.915714016184211,"2023-06-03 11:55:59","2 year degree","Democratic","Somewhat Liberal","No","NJ","No","N/A",1685811387.23443,"Match","2023-06-03 11:56:27","No","4",50,"9mm",1,2,NA,NA,50,NA,25,"1 chance in 2 (fifty-fifty chance)",1685812078.75451,"Match",24,"No","i think that the defendant may or may not own the gun that was fired at the store.","2023-06-03 12:07:58",3415726,1685811359.75386,"Match",233,108
"71","White","Female","26 - 35","$20,000 - $29,999","No","Extremely Uncomfortable",1685811869.05142,"Match",0.641346518648788,"2023-06-03 12:04:29","High school graduate","No consistent preference","Middle of the Road","No","AL","No","N/A",1685811885.62295,"Match","2023-06-03 12:04:45","No","7",79,"9mm",NA,NA,1,10,85,20,NA,"About 9 chances in 10",1685812655.6729,"Match",24,"Yes","It seems like he was caught with the firearm that shot the bullet into the ceiling of the convenience store. ","2023-06-03 12:17:35",2453761,1685811869.06258,"Match",99,242
"72","Black or African American, Native Hawaiian or Pacific Islander","Female","18 - 25","$100,000 - $149,999","No","Extremely Uncomfortable",1685811960.2032,"Match",0.361294430214912,"2023-06-03 12:06:00","High school graduate","Democratic","Very Liberal","Yes","CA","No","N/A",1685811981.1035,"Match","2023-06-03 12:06:21","Yes","7",87,"9mm",NA,NA,1,95,90,35,NA,"About 9,999 chances in 10,000",1685812509.21252,"Match",24,"Yes","He seems to be guilty.","2023-06-03 12:15:09",4135726,1685811960.21456,"Match",102,101
"73","White","Female","56 - 65","$30,000 - $39,999","No","Moderately Uncomfortable",1685812263.76268,"Match",0.0861842758022249,"2023-06-03 12:11:03","Some college","No consistent preference","Middle of the Road","No","CO","No","N/A",1685812284.99116,"Match","2023-06-03 12:11:24","Yes","9 <br/> Extremely strong",100,"9mm",NA,NA,1,1e+05,100,50,NA,"Certain to be guilty",1685812989.86305,"Match",24,"Yes","I think he fired the weapon in question and committed the crime he was charged with.","2023-06-03 12:23:09",3675421,1685812263.76882,"Match",28,42
"74","Black or African American","Male","26 - 35","$70,000 - $79,999","No","Extremely Uncomfortable",1685812714.68791,"Match",0.604754158761352,"2023-06-03 12:18:34","4 year degree","Democratic","Somewhat Liberal","No","GA","No","N/A",1685812731.59871,"Match","2023-06-03 12:18:51","No","3",24,"9mm",1,50,NA,NA,35,NA,50,"About 1 chance in 10",1685813446.08203,"Match",24,"No","I think there is doubt that he did this. Someone could have put that gun in his car. There is a chance it is a false positive. There is no evidence other than the bullet.","2023-06-03 12:30:46",1362754,1685812714.69401,"Match",220,152
"75","White","Female","26 - 35","More than $150,000","No","Slightly Uncomfortable",1685813780.45435,"NoMatch",0.468444924335927,"2023-06-03 12:36:20","4 year degree","No consistent preference","Middle of the Road","No","TX","No","No",1685813782.34776,"NoMatch","2023-06-03 12:36:22","No","6",25,"9mm",1,10,NA,NA,28,NA,40,"About 1 chance in 10",1685814498.52452,"NoMatch",24,"No","He is not guilty","2023-06-03 12:48:18",5134276,1685813780.46516,"NoMatch",70,191
"76","White","Female","46 - 55","$50,000 - $59,999","No","Extremely Uncomfortable",1685813996.85417,"NoMatch",0.432947907131165,"2023-06-03 12:39:56","Professional degree","Democratic","Somewhat Liberal","No","FL","No","N/A",1685814032.23302,"NoMatch","2023-06-03 12:40:32","No","2",3,"22mm",1,1e+08,NA,NA,2,NA,45,"About 1 chance in 10,000",1685814625.82752,"NoMatch",24,"No","possibly not guilty","2023-06-03 12:50:25",2453761,1685813996.86669,"NoMatch",173,149
"77","White","Female","26 - 35","$100,000 - $149,999","No","Extremely Uncomfortable",1685814668.46168,"Match",0.193778852932155,"2023-06-03 12:51:08","4 year degree","Democratic","Somewhat Liberal","No","CO","No","N/A",1685814684.06314,"Match","2023-06-03 12:51:24","No","4",36,"9mm",NA,NA,1,5,40,5,NA,"About 1 chance in 10",1685815712.40719,"Match",24,"Yes","Being that the gun was found in Cole's possession and has had expert testimony showing that was the gun fired in the attempted armed robbery, Cole was possibly the one that committed the crime, or is associated with the person who did.","2023-06-03 13:08:32",4761352,1685814668.47345,"Match",211,169
"78","White","Female","46 - 55","$50,000 - $59,999","No","Moderately Uncomfortable",1685814749.61744,"Match",0.165441649965942,"2023-06-03 12:52:29","Professional degree","No consistent preference","Somewhat Liberal","No","OK","No","N/A",1685814782.08851,"Match","2023-06-03 12:53:02","Yes","8",99,"9mm",NA,NA,1,1e+05,99,10,NA,"About 9,999 chances in 10,000",1685816284.91898,"Match",24,"Yes","I think he's guilty.","2023-06-03 13:18:04",2634571,1685814749.62936,"Match",51,24
"79","White","Female","36 - 45","$70,000 - $79,999","No","Extremely Uncomfortable",1685815393.70815,"NoMatch",0.7446917030029,"2023-06-03 13:03:13","Professional degree","Democratic","Somewhat Liberal","No","NH","No","N/A",1685815413.19112,"NoMatch","2023-06-03 13:03:33","No","2",1,"9mm",1,10000,NA,NA,2,NA,50,"About 1 chance in 1,000",1685815981.62463,"NoMatch",24,"No","I think he is innocent because the bullets didn't match.","2023-06-03 13:13:01",3457216,1685815393.71885,"NoMatch",188,176
"80","White","Male","26 - 35","$90,000 - $99,999","No","Slightly Uncomfortable",1685816491.6079,"Match",0.336194924544543,"2023-06-03 13:21:31","4 year degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1685816511.32984,"Match","2023-06-03 13:21:51","No","2",41,"9mm",1,2,NA,NA,45,NA,25,"1 chance in 2 (fifty-fifty chance)",1685817344.15167,"Match",24,"No","I feel pretty neutral at the moment, I don't have enough information at the moment to feel too passionately about him either way. ","2023-06-03 13:35:44",6152437,1685816491.61768,"Match",167,88
"81","White","Female","56 - 65","$70,000 - $79,999","Yes","Extremely Comfortable",1685816803.66967,"NoMatch",0.194538175361231,"2023-06-03 13:26:43","4 year degree","No consistent preference","Middle of the Road","No","AZ","No","N/A",1685816828.78219,"NoMatch","2023-06-03 13:27:08","No","2",2,"9mm",1,100,NA,NA,2,NA,50,"About 1 chance in 100",1685817340.31273,"NoMatch",24,"No","I think he got pulled over and falsely accused because he had the same type of gun used in a shooting incident.","2023-06-03 13:35:40",7453621,1685816803.67572,"NoMatch",7,192
"82","White","Female","26 - 35","$50,000 - $59,999","No","Slightly Uncomfortable",1685818241.64356,"Match",0.893187998561189,"2023-06-03 13:50:41","4 year degree","Democratic","Very Liberal","No","PA","No","N/A",1685818262.77798,"Match","2023-06-03 13:51:02","No","7",66,"9mm",NA,NA,1,5,80,50,NA,"About 9 chances in 10",1685819004.1156,"Match",24,"Yes","He is likely guilty","2023-06-03 14:03:24",4521763,1685818241.64979,"Match",233,71
"83","White","Female","Over 65","$20,000 - $29,999","No","Extremely Uncomfortable",1685818551.23487,"Match",0.106546338414773,"2023-06-03 13:55:51","4 year degree","Democratic","Somewhat Liberal","No","FL","No","N/A",1685818576.20484,"Match","2023-06-03 13:56:16","No","5 <br/> Moderately strong",50,"9mm",5,10,NA,NA,50,NA,50,"1 chance in 2 (fifty-fifty chance)",1685819429.34758,"Match",24,"No","","2023-06-03 14:10:29",7512634,1685818551.24087,"Match",31,69
"84","White","Male","46 - 55","$80,000 - $89,999","Yes","Extremely Comfortable",1685818604.19688,"NoMatch",0.43006475479342,"2023-06-03 13:56:44","Professional degree","Republican","Very Conservative","No","MA","Yes","Yes",1685818654.39973,"NoMatch","2023-06-03 13:57:34","No","1 <br/> Not at all strong",1,"9mm",1,10000,NA,NA,5,NA,49,"About 1 chance in 10,000",1685819487.57281,"NoMatch",24,"No","I think that his gun was not used in the crime","2023-06-03 14:11:27",7534621,1685818604.20393,"NoMatch",218,136
"85","Black or African American","Female","26 - 35","$50,000 - $59,999","No","Extremely Uncomfortable",1685818853.58403,"NoMatch",0.986275775823742,"2023-06-03 14:00:53","4 year degree","Democratic","Very Liberal","No","MI","No","N/A",1685818887.05328,"NoMatch","2023-06-03 14:01:27","No","1 <br/> Not at all strong",0,"9mm",2,100,NA,NA,1,NA,50,"About 1 chance in 1,000",1685819896.32778,"NoMatch",24,"No","I think that he is likely innocent because the bullet fired did not come from his gun.","2023-06-03 14:18:16",2671543,1685818853.59678,"NoMatch",86,217
"86","White","Female","18 - 25","$30,000 - $39,999","No","Moderately Uncomfortable",1685819595.00015,"NoMatch",0.712490285048261,"2023-06-03 14:13:15","4 year degree","Democratic","Very Liberal","No","PA","No","N/A",1685819615.03669,"NoMatch","2023-06-03 14:13:35","No","2",4,"9mm",1,100,NA,NA,4,NA,50,"About 1 chance in 100",1685820249.09785,"NoMatch",24,"No","I do not think the defendant is guilty.","2023-06-03 14:24:09",5372416,1685819595.01172,"NoMatch",182,166
"87","White","Female","26 - 35","Less than $10,000","No","Neither Comfortable nor Uncomfortable",1685819807.99534,"NoMatch",0.43564995797351,"2023-06-03 14:16:47","High school graduate","No consistent preference","Middle of the Road","No","OH","No","N/A",1685819842.33411,"NoMatch","2023-06-03 14:17:22","No","3",2,"9mm",1,1e+06,NA,NA,3,NA,50,"About 1 chance in 10,000",1685820598.05874,"NoMatch",24,"No","I think the defendant is not guilty.","2023-06-03 14:29:58",2764513,1685819808.00129,"NoMatch",10,148
"88","White","Male","46 - 55","Less than $10,000","No","Moderately Uncomfortable",1685820038.45809,"NoMatch",0.148696982301772,"2023-06-03 14:20:38","4 year degree","Republican","Somewhat Conservative","No","OR","No","N/A",1685820067.79891,"NoMatch","2023-06-03 14:21:07","No","1 <br/> Not at all strong",6,"9mm",1,20,NA,NA,5,NA,45,"About 1 chance in 10",1685820772.2107,"NoMatch",24,"No","There is no evidence linking him to the crime, he may just be a guy that happened to have a 9mm handgun, which isn't uncommon.","2023-06-03 14:32:52",5263417,1685820038.46986,"NoMatch",233,32
"89","White","Female","18 - 25","$30,000 - $39,999","No","Extremely Uncomfortable",1685820111.90964,"Match",0.480121463770047,"2023-06-03 14:21:51","4 year degree","Democratic","Somewhat Liberal","No","MD","No","N/A",1685820132.27798,"Match","2023-06-03 14:22:12","Yes","8",84,"9mm",NA,NA,1,100,82,40,NA,"About 99 chances in 100",1685820724.8139,"Match",24,"Yes","I think that he is guilty and is not a good person for using a firearm to try to rob a store.","2023-06-03 14:32:04",7524136,1685820111.92157,"Match",233,141
"90","Black or African American","Male","18 - 25","$20,000 - $29,999","No","Extremely Uncomfortable",1685820435.77411,"Match",0.827744546346366,"2023-06-03 14:27:15","Some college","Democratic","Somewhat Liberal","No","NY","No","N/A",1685820499.84298,"Match","2023-06-03 14:28:19","No","6",67,"9mm",1,1,NA,NA,70,NA,25,"1 chance in 2 (fifty-fifty chance)",1685821514.28772,"Match",24,"No","I think that he may be guilty of the firearm, but more investigation need to be done about his whereabout to make the acusation stick","2023-06-03 14:45:14",6257413,1685820435.79559,"Match",79,90
"91","White","Male","26 - 35","$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1685827809.59599,"Match",0.130230797920376,"2023-06-03 16:30:09","Professional degree","Democratic","Middle of the Road","No","MD","No","N/A",1685827849.82916,"Match","2023-06-03 16:30:49","Yes","8",83,"9mm",NA,NA,1,100,80,10,NA,"About 999 chances in 1,000",1685828269.88031,"Match",24,"Yes","Guilty","2023-06-03 16:37:49",6174352,1685827809.60527,"Match",233,112
"92","White","Male","56 - 65","$20,000 - $29,999","Yes","Extremely Comfortable",1685829039.72601,"NoMatch",0.787592711159959,"2023-06-03 16:50:39","Some college","Republican","Middle of the Road","No","MI","No","N/A",1685829087.67359,"NoMatch","2023-06-03 16:51:27","No","1 <br/> Not at all strong",5,"9mm",1,100,NA,NA,3,NA,50,"About 1 chance in 1,000",1685830322.24382,"NoMatch",24,"No","Not guilty ","2023-06-03 17:12:02",1267543,1685829039.74131,"NoMatch",152,243
"93","White","Female","36 - 45","$60,000 - $69,999","No","Extremely Uncomfortable",1685829259.7825,"NoMatch",0.273216445697471,"2023-06-03 16:54:19","Professional degree","Republican","Very Conservative","No","MO","No","N/A",1685829283.49168,"NoMatch","2023-06-03 16:54:43","No","2",24,"9mm",1,100,NA,NA,15,NA,45,"About 1 chance in 100",1685829859.75586,"NoMatch",24,"No","I believe he is not guilty and the shots were not from his gun.","2023-06-03 17:04:19",7154362,1685829259.7951,"NoMatch",225,210
"94","Black or African American","Male","26 - 35","$50,000 - $59,999","No","Moderately Comfortable",1685829326.4364,"NoMatch",0.547088063322008,"2023-06-03 16:55:26","2 year degree","No consistent preference","Middle of the Road","No","CA","No","N/A",1685829351.01785,"NoMatch","2023-06-03 16:55:51","Yes","8",96,"9mm",NA,NA,1,1000,95,45,NA,"About 999 chances in 1,000",1685830235.72189,"NoMatch",24,"Yes","I think it's more than likely that he fired the gun at that place of business, despite the eye witness not being able to place him at the crime scene due to the defendant wearing a ski mask.","2023-06-03 17:10:35",6473512,1685829326.44295,"NoMatch",134,144
"95","White","Female","46 - 55","Less than $10,000","Yes","Extremely Comfortable",1685830420.31246,"NoMatch",0.773346358910203,"2023-06-03 17:13:40","Some college","No consistent preference","Middle of the Road","Yes","TX","Yes","No",1685830444.39983,"NoMatch","2023-06-03 17:14:04","No","1 <br/> Not at all strong",5,"9mm",1,1e+05,NA,NA,10,NA,25,"About 1 chance in 10,000",1685832003.78743,"NoMatch",24,"No","I don't know, haven't seen enough aabout him to warrant him being arrested much less charged since the bullets don't match & are cops in the habit of confiscating every firearm they encounter because a gun with the same(most popular in this case) caliber was used in an attempted crime? ","2023-06-03 17:40:03",2463157,1685830420.32357,"NoMatch",49,77
"96","White, Asian","Male","26 - 35","$10,000 - $19,999","No","Slightly Comfortable",1685830753.47102,"Match",0.331516124773771,"2023-06-03 17:19:13","Some college","No consistent preference","Middle of the Road","No","IL","Yes","N/A",1685830783.06253,"Match","2023-06-03 17:19:43","No","6",25,"9mm",7,10,NA,NA,72,NA,30,"1 chance in 2 (fifty-fifty chance)",1685831551.13448,"Match",24,"No","He might be guilty but also someone else could have fired his gun","2023-06-03 17:32:31",2176345,1685830753.48244,"Match",157,57
"97","White","Female","36 - 45","$100,000 - $149,999","No","Slightly Uncomfortable",1685830833.1214,"Match",0.352466468000785,"2023-06-03 17:20:33","4 year degree","Democratic","Very Liberal","No","MA","No","N/A",1685830851.42122,"Match","2023-06-03 17:20:51","Yes","8",96,"9mm",NA,NA,2,100,90,50,NA,"About 99 chances in 100",1685831265.68785,"Match",24,"Yes","I believe that the bullet was fired from the defendant's gun.","2023-06-03 17:27:45",1642537,1685830833.1324,"Match",11,127
"98","White","Female","56 - 65","$20,000 - $29,999","No","Moderately Uncomfortable",1685830836.08023,"Match",0.497144447639585,"2023-06-03 17:20:36","4 year degree","Republican","Very Conservative","No","SD","No","N/A",1685830879.59683,"Match","2023-06-03 17:21:19","No","6",99,"9mm",NA,NA,1,10,99,20,NA,"About 9 chances in 10",1685831905.67764,"Match",24,"Yes","If I had no other information, I would conclude he is guilty.","2023-06-03 17:38:25",7641352,1685830836.0868,"Match",233,207
"99","White","Female","26 - 35","$60,000 - $69,999","Yes","Moderately Comfortable",1685832066.61762,"NoMatch",0.784884086577222,"2023-06-03 17:41:06","4 year degree","No consistent preference","Middle of the Road","No","GA","No","N/A",1685832080.12373,"NoMatch","2023-06-03 17:41:20","No","1 <br/> Not at all strong",1,"9mm",1,10000,NA,NA,2,NA,50,"About 1 chance in 10,000",1685832479.62042,"NoMatch",24,"No","nothing really, no information about him specifically was provided","2023-06-03 17:47:59",5473621,1685832066.62973,"NoMatch",222,33
"100","White","Male","26 - 35","$80,000 - $89,999","No","Slightly Comfortable",1685832121.04189,"NoMatch",0.755667264573276,"2023-06-03 17:42:01","4 year degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1685832157.17904,"NoMatch","2023-06-03 17:42:37","No","3",21,"9mm",1,10,NA,NA,20,NA,50,"About 1 chance in 100",1685833038.35202,"NoMatch",24,"No","I think the defendant has enough reasonable doubt to be innocent ","2023-06-03 17:57:18",6375214,1685832121.05307,"NoMatch",210,62
"101","White","Female","18 - 25","$100,000 - $149,999","No","Slightly Uncomfortable",1685832870.22599,"NoMatch",0.593286257702857,"2023-06-03 17:54:30","Some college","Democratic","Somewhat Liberal","No","TX","No","N/A",1685832915.81058,"NoMatch","2023-06-03 17:55:15","No","3",43,"9mm",1,2,NA,NA,50,NA,25,"1 chance in 2 (fifty-fifty chance)",1685833714.90996,"NoMatch",24,"No","I think that the defendant is very likely to be not guilty, considering the examiners professional opinion. ","2023-06-03 18:08:34",1574362,1685832870.23915,"NoMatch",199,173
"102","White","Other/non-binary","26 - 35","Less than $10,000","No","Extremely Uncomfortable",1685833274.68067,"NoMatch",0.739501930773258,"2023-06-03 18:01:14","4 year degree","Democratic","Very Liberal","No","NC","No","N/A",1685833299.16615,"NoMatch","2023-06-03 18:01:39","No","1 <br/> Not at all strong",0,"9mm",1,1e+08,NA,NA,0,NA,40,"About 1 chance in 10,000",1685834036.31485,"NoMatch",24,"No","I'm not sure why he was arrested or why they're having an expert testify that the bullets do not match","2023-06-03 18:13:56",2467531,1685833274.68718,"NoMatch",233,14
"103","White","Female","46 - 55","$100,000 - $149,999","No","Extremely Uncomfortable",1685834592.18502,"NoMatch",0.00153591972775757,"2023-06-03 18:23:12","2 year degree","Democratic","Somewhat Liberal","No","NY","No","N/A",1685834620.23483,"NoMatch","2023-06-03 18:23:40","No","1 <br/> Not at all strong",4,"9mm",1,10000,NA,NA,9,NA,49,"About 1 chance in 10,000",1685835797.00415,"NoMatch",24,"No","probably not guilty","2023-06-03 18:43:17",1362574,1685834592.19737,"NoMatch",194,63
