"","gender","age","income","gunown","guncomfort","page.x","time.x","randomnumber","start_time","conclusion","education","vote","political","arrest","state","jury","crimejury","page.y","time.y","convict","def_comment","guilt_opinion","betting","hidden_probability","chances_fixed","evidence_strength","numeric_chance","check","visible_probability"
"75","Woman","56 - 65","$100,000 - $149,999","No","Extremely Uncomfortable",2,"1706305029.46654",13.7906947173178,"1706305004.95676","NoMatch","4 year degree","No consistent preference","Somewhat Liberal","No","WA","Yes","Yes",3,"1706305058.94672","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Man","36 - 45","$40,000 - $49,999","Yes","Extremely Comfortable",2,"1706305139.19155",27.0435915561393,"1706305120.68081","NoMatch","2 year degree","Republican","Very Conservative","No","NC","Yes","No",3,"1706305163.29297","No","I think the defendant could not be proven guilty beyong a reasonable doubt. Based on the testimony of the firearms examiner, there is a reasonable doubt that the defendant is guilty.","No","50","6","About 1 chance in 10","1 Not at all strong","innocent,9,10","9mm","10"
"77","Woman","56 - 65","$100,000 - $149,999","No","Extremely Uncomfortable",2,"1706305586.92754",48.1847441988066,"1706305562.32425","NoMatch","4 year degree","No consistent preference","Somewhat Liberal","No","WA","Yes","Yes",3,"1706305604.65628","No","Richard Cole's gun found in his car was not the gun used in the store","Yes","40","89","Impossible that he is guilty","1 Not at all strong","innocent,1,10","9mm","91"
"78","Man","36 - 45","Less than $10,000","No","Moderately Comfortable",2,"1706306318.94668",61.9095045141876,"1706306173.52567","NoMatch","2 year degree","Republican","Somewhat Conservative","No","OR","No","N/A",3,"1706306380.68306","No","The defendant is innocent.","No","50","0","About 1 chance in 10,000","1 Not at all strong","guilty,1,10000","9mm","0"
"79","Man","26 - 35","Less than $10,000","Yes","Extremely Comfortable",2,"1706306679.82606",25.5559591110796,"1706306662.56543","Match","Some college","Republican","Middle of the Road","No","TN","No","No",3,"1706306706.86793","Yes","He's guilty ","Yes","40","86","Certain to be guilty","8","guilty,1.5,1.7","9mm","91"
"80","Man","36 - 45","$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",2,"1706311471.42521",68.3033159002662,"1706311414.19744","NoMatch","4 year degree","No consistent preference","Middle of the Road","No","NV","No","N/A",3,"1706311504.26282","No","The defendant did not commit the alleged crime.","No","50","1","About 1 chance in 10,000","1 Not at all strong","innocent,99.99,100","9mm","1"
"81","Woman","18 - 25","More than $150,000","No","Moderately Uncomfortable",2,"1706311527.47778",87.1830251999199,"1706311480.54067","NoMatch","Some college","Democratic","Somewhat Liberal","No","MD","No","N/A",3,"1706311556.47041","No","He is not guilty. ","No","25","20","About 1 chance in 100","1 Not at all strong","guilty,5,10000","9mm","20"
"82","Man","18 - 25","$10,000 - $19,999","No","Moderately Uncomfortable",2,"1706312014.03548",31.1863930197433,"1706311904.76653","NoMatch","4 year degree","Democratic","Somewhat Conservative","No","GA","No","N/A",3,"1706312128.87006","Yes","I think that the defendant is guilty.","Yes","20","57","About 1 chance in 10","5 Moderately strong","guilty,1,10","9mm","61"
"83","Woman","18 - 25","$90,000 - $99,999","No","Moderately Uncomfortable",2,"1706312165.45303",33.7102971738204,"1706311979.12713","NoMatch","Some college","Democratic","Somewhat Liberal","No","PA","No","N/A",3,"1706312277.40118","No","I don't think he is guilty based on Terry Smith's testimony and expertise. There should be more evidence besides the gun to convict him.","No","45","2","About 1 chance in 10","1 Not at all strong","innocent,8.5,10","9mm","11"
"84","Woman","26 - 35","$30,000 - $39,999","No","Neither Comfortable nor Uncomfortable",2,"1706314399.87148",42.7904485259205,"1706314373.84148","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","NJ","Yes","Yes",3,"1706314516.28907","No","i think the defendant is not guilty","No","20","36","1 chance in 2 (fifty-fifty chance)","3","innocent,1,5","9mm","50"
"85","Man","18 - 25","$100,000 - $149,999","No","Extremely Comfortable",2,"1706314790.28604",86.3093963358551,"1706314757.53493","Match","High school graduate","Democratic","Very Liberal","No","PA","No","N/A",3,"1706314819.37139","No","There was no sufficient identification at the crime scene. Examining the bullet would be near impossible if it was fired because when it hits something, the bullet would crumple, which would lead to inconsistencies in testing. A 9MM is a common round, and it would not be uncommon for two of the same guns to be present, with similar barrel wear patterns.There is a 1 in 50 chance that this evidence is a false positive and I believe that does NOT constitute beyond a reasonable doubt.","No","30","6","About 1 chance in 10","1 Not at all strong","guilty,1,50","9mm","5"
"86","Woman","26 - 35","Less than $10,000","No","Slightly Uncomfortable",2,"1706316917.63745",70.8931947592646,"1706316871.12026","Match","Professional degree","No consistent preference","Somewhat Liberal","Yes","OH","No","N/A",3,"1706316940.24276","Yes","guilty","Yes","50","82","About 999 chances in 1,000","8","guilty,999,1000","9mm","90"
"87","Woman","46 - 55","More than $150,000","No","Extremely Uncomfortable",2,"1706317051.11529",96.6996035305783,"1706316869.46453","Match","Professional degree","Democratic","Very Liberal","No","NC","Yes","Yes",3,"1706317083.69513","No","i think it's definitive that it was the same gun but it was not demonstrated beyond a reasonable doubt that the defendant was present at the store at the time of the crime. the evidence is sort of circumstantial","Yes","45","87","About 1 chance in 10","5 Moderately strong","innocent,20,100","9mm","80"
"88","Man","26 - 35","$60,000 - $69,999","No","Slightly Uncomfortable",2,"1706320747.26978",37.5082910759374,"1706320725.96089","NoMatch","4 year degree","Democratic","Very Liberal","No","OR","No","N/A",3,"1706320761.66942","No","That they were not the person who fired the gun into the ceiling.","No","50","4","About 1 chance in 100","1 Not at all strong","innocent,100,100","9mm","3"
"89","Man","18 - 25","$20,000 - $29,999","No","Slightly Comfortable",2,"1706321058.44949",82.1163742570207,"1706320991.17684","Match","High school graduate","No consistent preference","Middle of the Road","No","AZ","No","N/A",3,"1706321075.75901","No","The forensic evidence linking the defendan'ts gun to the crime is significant. However, the lack of direct eyewitnesss identification creates doubt. The evidence is circumstantial, which doesn't prove guilt. There's room for reasonable doubt about the defendant's direct involvement. ","No","50","44","1 chance in 2 (fifty-fifty chance)","7","innocent,1,100","9mm","46"
"90","Man","18 - 25","$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",2,"1706322371.81439",88.2198391482234,"1706322338.704","Match","4 year degree","No consistent preference","Middle of the Road","No","MD","No","N/A",3,"1706322400.51637","No","defendant was unidentifiable. it could have been a completely different person who entered the store and shot the gun. sure, there is a very high chance the bullet came from the same gun but no enough evidence to justify the defendant is guilty","Yes","0","50","1 chance in 2 (fifty-fifty chance)","3","innocent,1,2","9mm","50"
"91","Woman","26 - 35","More than $150,000","No","Extremely Uncomfortable",2,"1706322590.57991",73.3853074954823,"1706322564.07226","Match","Professional degree","Democratic","Somewhat Liberal","No","MA","No","N/A",3,"1706322609.27182","Yes","There is sufficient evidence that the bullet shot was fired by the defendant's gun. I believe he is guilty.","Yes","30","95","About 9 chances in 10","7","innocent,9.5,10","9mm","95"
"92","Man","36 - 45","$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",2,"1706322753.79858",51.5388194704428,"1706322726.20733","Match","Professional degree","No consistent preference","Somewhat Liberal","No","IL","No","N/A",3,"1706322770.11151","Yes","That he tried to rob the store","Yes","50","96","About 99 chances in 100","8","innocent,2,100","9mm","95"
"93","Woman","18 - 25","$30,000 - $39,999","No","Moderately Uncomfortable",2,"1706323887.48962",50.3063768148422,"1706323837.70029","Match","2 year degree","No consistent preference","Middle of the Road","Yes","FL","No","N/A",3,"1706323981.74051","No","that maybe he was in the wrong place at the wrong time","Yes","27","62","About 1 chance in 1,000","5 Moderately strong","innocent,27,500","9mm","59"
"94","Woman","46 - 55","More than $150,000","No","Extremely Uncomfortable",2,"1706324182.59168",72.3319231532514,"1706324153.68996","Match","4 year degree","Republican","Somewhat Liberal","No","WI","No","N/A",3,"1706324212.48626","Yes","The defendant legally owned the gun that the bullet came from and the gun was in his possession.","Yes","50","98","About 99 chances in 100","9 Extremely strong","innocent,1,100","9mm","99"
"95","Woman","18 - 25","$40,000 - $49,999","Yes","Extremely Comfortable",2,"1706324199.61052",61.3331619417295,"1706324140.18675","NoMatch","4 year degree","Democratic","Very Liberal","No","WI","No","N/A",3,"1706324219.25185","No","I think they are not guilty","No","50","1","About 1 chance in 10,000","1 Not at all strong","guilty,1,1000000","9mm","1"
"96","Woman","18 - 25","$80,000 - $89,999","No","Slightly Comfortable",2,"1706325842.03333",76.6616836655885,"1706325801.04098","Match","4 year degree","Democratic","Somewhat Liberal","No","CA","No","N/A",3,"1706325856.16271","Yes","I believe the defendant did fire the gun based on the gun being found in the defendant's car.","Yes","30","73","About 9,999 chances in 10,000","5 Moderately strong","innocent,1,1000","9mm","71"
"97","Woman","46 - 55","$10,000 - $19,999","No","Slightly Uncomfortable",2,"1706325866.85295",21.5531427646056,"1706325827.24532","Match","Some college","Democratic","Somewhat Liberal","Yes","OR","No","N/A",3,"1706325920.66703","No","I don't really have an opinion about the defendant. I would like to see more information other than just forensics. I might try to downplay forensics, but it's not enough for me to convince someone. It looked like there was an up to 2% failure rate. That's too high for me.","Yes","25","74","About 99 chances in 100","7","guilty,99,100","9mm","70"
"98","Man","26 - 35","More than $150,000","No","Neither Comfortable nor Uncomfortable",2,"1706326715.23446",25.7171485805884,"1706326691.29035","Match","4 year degree","Democratic","Somewhat Liberal","No","IL","No","N/A",3,"1706326730.01513","Yes","I think it was defendant is the store that day/ ","Yes","35","86","About 9 chances in 10","5 Moderately strong","guilty,9,10","9mm","80"
"99","Man","46 - 55","$10,000 - $19,999","No","Neither Comfortable nor Uncomfortable",2,"1706327058.42242",61.4277432672679,"1706327019.33472","NoMatch","4 year degree","Democratic","Somewhat Liberal","Yes","KY","No","N/A",3,"1706327082.91664","No","I don't have any particular thoughts about the defendant other than that he appears to not be guilty, based on his gun not being the one used in the crime.","No","45","8","About 1 chance in 10,000","1 Not at all strong","innocent,85,100","9mm","7"
"100","Man","36 - 45","$10,000 - $19,999","No","Slightly Comfortable",2,"1706328531.48511",42.0639446470886,"1706328487.86451","NoMatch","High school graduate","Democratic","Very Liberal","No","VA","No","N/A",3,"1706328549.55634","No","He was arrested for having the same type of gun as the killer and based on shady testimony since the clerk couldn't see them well, due to a ski mask being on them. He's not guilty and is quite calm and relaxed","No","50","4","About 1 chance in 100","1 Not at all strong","guilty,2.5,2.9","9mm","3"
"101","Woman","46 - 55","$100,000 - $149,999","No","Slightly Uncomfortable",2,"1706328581.16738",85.7765764929354,"1706328560.74717","Match","4 year degree","Republican","Middle of the Road","Yes","MO","No","N/A",3,"1706328601.67792","No","I think that he probably did it but I need further evidence to prove that he did.","Yes","40","90","About 99 chances in 100","3","innocent,10,100","9mm","91"
"102","Man","46 - 55","$50,000 - $59,999","Yes","Extremely Comfortable",2,"1706330145.17165",19.8183690197766,"1706329969.21486","Match","Some college","No consistent preference","Somewhat Conservative","No","TX","No","N/A",3,"1706330176.76498","No","i think its possible it could have been him, but without a witness to identify him its impossible to say 100%without a doubt he did it. ","No","50","19","About 1 chance in 10","3","guilty,1,5","9mm","20"
"103","Other/non-binary","36 - 45","$10,000 - $19,999","No","Extremely Comfortable",2,"1706330266.47494",1.14486811216921,"1706330199.44726","NoMatch","4 year degree","Democratic","Very Liberal","No","CT","No","N/A",3,"1706330285.98713","No","Innocent, wrongfully picked up by the cops, and we're wasting his time by being here","No","50","8","About 1 chance in 10,000","1 Not at all strong","guilty,1,10000","9mm","1"
"104","Man","18 - 25","$40,000 - $49,999","Yes","Extremely Comfortable",2,"1706330305.36966",46.6536331921816,"1706330216.75526","NoMatch","2 year degree","Democratic","Somewhat Liberal","No","MN","No","N/A",3,"1706330330.19917","No","I think the defendant was falsely accused, and that the gun potentially was illegally taken (unless information on that was omitted from the study).","No","50","0","About 1 chance in 10,000","1 Not at all strong","guilty,3,100","9mm","0"
"105","Woman","26 - 35","$40,000 - $49,999","No","Moderately Uncomfortable",2,"1706332352.2118",43.1889255065471,"1706332323.23564","NoMatch","Some college","No consistent preference","Somewhat Liberal","No","MN","No","N/A",3,"1706332374.43565","No","They are likely not the offender","No","45","11","About 1 chance in 100","1 Not at all strong","guilty,1,30","9mm","5"
"106","Woman","46 - 55","$60,000 - $69,999","Yes","Moderately Comfortable",2,"1706332597.94211",16.7844237759709,"1706332538.52595","Match","2 year degree","Democratic","Middle of the Road","Yes","OH","No","N/A",3,"1706332634.52776","Yes","I think he shot the gun in the convienence store.","Yes","25","50","About 999 chances in 1,000","7","guilty,5,10","9mm","50"
"107","Man","46 - 55","$60,000 - $69,999","No","Slightly Uncomfortable",2,"1706332707.18676",12.3396077658981,"1706332593.4237","Match","2 year degree","Democratic","Middle of the Road","No","VI","No","N/A",3,"1706332788.89371","Yes","He feels quite guilty, it would have been a different case if he was not stopped for over speeding","Yes","25","91","About 999 chances in 1,000","7","guilty,999,1000","9mm","90"
"108","Woman","36 - 45","$30,000 - $39,999","No","Neither Comfortable nor Uncomfortable",2,"1706368527.04502",30.955289141275,"1706368498.669","Match","2 year degree","Democratic","Very Liberal","Yes","WV","No","N/A",3,"1706368548.89604","Yes","I think that he is a robber and a criminal.","Yes","50","94","About 999 chances in 1,000","7","guilty,100,100","9mm","95"
"109","Woman","56 - 65","$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",2,"1706368682.78149",13.4094539796934,"1706368651.91775","NoMatch","Some college","Republican","Somewhat Conservative","No","IL","Yes","No",3,"1706368710.77176","No","I think he just happens to have the same type of gun, but he isn't guilty.","No","40","30","About 1 chance in 1,000","3","innocent,82,100","9mm","18"
"110","Woman","18 - 25","$100,000 - $149,999","No","Slightly Uncomfortable",2,"1706368774.85324",8.72490701731294,"1706368745.89663","NoMatch","4 year degree","Republican","Very Conservative","No","GA","No","N/A",3,"1706368790.14543","No","I think he just happened to own the same type of gun but that doesn’t mean he was the one that fire in the store","No","40","7","About 1 chance in 10,000","1 Not at all strong","guilty,1,10000","9mm","5"
"111","Woman","46 - 55","$50,000 - $59,999","No","Slightly Uncomfortable",2,"1706369968.6114",98.7097254488617,"1706369855.50091","Match","4 year degree","Democratic","Middle of the Road","No","TX","No","N/A",3,"1706370008.64198","No","That he is just a suspect that was pulled over for speeding who happened to be in possession of a gun who matches fired bullet cases left from an attempted robbery.","No","50","50","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","innocent,1,2","9mm","50"
"112","Man","56 - 65","$100,000 - $149,999","No","Slightly Uncomfortable",2,"1706370048.25394",30.6688933633268,"1706370006.23683","NoMatch","Professional degree","No consistent preference","Very Liberal","No","CT","No","N/A",3,"1706370077.98399","No","I have very little information about the defendant, so no opinion.","No","50","0","1 chance in 2 (fifty-fifty chance)","1 Not at all strong","innocent,99,100","9mm","1"
"113","Man","36 - 45","$70,000 - $79,999","Yes","Neither Comfortable nor Uncomfortable",2,"1706371042.955",17.4425493460149,"1706371007.69102","Match","4 year degree","Democratic","Very Liberal","Yes","FL","Yes","No",3,"1706371072.40013","No","While the gun matches the defendant and the crime scene, the defendant has not been specifically matched to the crime scene. While unlikely, given that only two days passed between crime and firearm confiscation, it may be that a third-party was aware of and had access to the firearm located in the vehicle. This would definitely constitute negligence by Cole. I would like to know more about the firearm's condition when discovered, specifically if any bullets had been fired. ","Yes","50","93","Certain to be guilty","7","innocent,1,100","9mm","90"
"114","Woman","18 - 25","$60,000 - $69,999","No","Extremely Uncomfortable",2,"1706371319.9995",26.0776153998449,"1706371301.81372","Match","4 year degree","Democratic","Very Liberal","No","NY","No","N/A",3,"1706371336.17518","Yes","That he is guilty","Yes","40","92","About 99 chances in 100","7","guilty,9,10","9mm","95"
"115","Woman","Over 65","$50,000 - $59,999","No","Extremely Uncomfortable",2,"1706373034.56729",97.3591461079195,"1706372969.51633","Match","Doctorate","Democratic","Very Liberal","No","NC","No","N/A",3,"1706373074.74107","Yes","I wish I could go back and change my last answer.  I would convict the GUN lol but it's possible that the gun was fired by someone else, and that is a very real possiblity so I would  not convict.  Sorry about that.","No","25","79","About 9 chances in 10","5 Moderately strong","innocent,20,100","9mm","80"
"116","Man","56 - 65","$40,000 - $49,999","No","Neither Comfortable nor Uncomfortable",2,"1706373404.80164",27.1454575937241,"1706373374.4353","NoMatch","4 year degree","No consistent preference","Middle of the Road","No","FL","No","N/A",3,"1706373421.5165","No","I think it could be a situation of being in the wrong place at the wrong time.","No","10","52","1 chance in 2 (fifty-fifty chance)","4","innocent,50,100","9mm","50"
"117","Woman","18 - 25","$40,000 - $49,999","No","Neither Comfortable nor Uncomfortable",2,"1706373572.66647",24.4440797017887,"1706373355.59753","Match","Some college","No consistent preference","Middle of the Road","No","NC","No","N/A",3,"1706373598.78932","Yes","I don't have any positive or negative opinions of the defendant.","Yes","25","86","1 chance in 2 (fifty-fifty chance)","7","guilty,1,2","9mm","90"
"118","Man","26 - 35","Less than $10,000","No","Slightly Comfortable",2,"1706454865.06062",0.708099454641342,"1706454841.91134","Match","Some college","No consistent preference","Middle of the Road","No","OR","No","N/A",3,"1706454885.41924","No","Even though the gun was located in their vehicle I don't see enough evidence that proves that they did the crime","No","50","28","About 1 chance in 10","5 Moderately strong","innocent,75,100","9mm","25"
"119","Man","46 - 55","$80,000 - $89,999","No","Moderately Comfortable",3,"1706454883.31901",26.1098725488409,"1706454805.93051","Match","Some college","No consistent preference","Middle of the Road","No","MD","No","N/A",4,"1706454911.00391","No","No idea about the defendant, they may have done it, but just based on the bullet evidence, there isn't enough to say that R. Cole had the gun at the time of the incident, there may have been someone else.","Yes","25","50","1 chance in 2 (fifty-fifty chance)","3","guilty,1,2","9mm","70"
"120","Man","46 - 55","$100,000 - $149,999","Yes","Moderately Uncomfortable",2,"1706456306.44397",69.3072022870183,"1706456275.34165","NoMatch","Doctorate","Democratic","Very Liberal","Yes","OR","No","N/A",3,"1706456339.0642","No","Don’t know much at all about him","No","50","3","About 1 chance in 1,000","1 Not at all strong","innocent,99,100","9mm","1"
"121","Man","18 - 25","Less than $10,000","No","Slightly Comfortable",2,"1706456331.88369",2.94059976004064,"1706456293.12","Match","Some college","Democratic","Very Liberal","No","PA","No","N/A",3,"1706456352.16783","No","I know that the defendant was pulled over, but I can not make the decision that they were the person who fired this gun in the store.","Yes","50","80","About 9 chances in 10","3","guilty,85,100","9mm","85"
"122","Man","36 - 45","$70,000 - $79,999","No","Moderately Comfortable",2,"1706476770.52729",51.2024719268084,"1706476717.54404","Match","4 year degree","No consistent preference","Somewhat Conservative","No","NY","Yes","Yes",4,"1706476801.28436","Yes","I believe the defendant was immoral for attempting to rob a business and using a firearm to threaten the worker.","Yes","50","99","About 9,999 chances in 10,000","9 Extremely strong","guilty,9999,10000","9mm","99"
"123","Woman","26 - 35","$20,000 - $29,999","No","Moderately Uncomfortable",2,"1706477051.10887",76.7405676422641,"1706477000.90655","NoMatch","2 year degree","Democratic","Very Liberal","No","MN","No","N/A",3,"1706477079.31059","No","I think that there is not enough evidence to show that the defendant committed this crime.","No","50","2","About 1 chance in 10","1 Not at all strong","innocent,9,10","9mm","4"
"124","Other/non-binary","26 - 35","$10,000 - $19,999","No","Extremely Uncomfortable",2,"1706477127.52526",2.61724973097444,"1706477076.84358","Match","4 year degree","Democratic","Very Liberal","No","MO","No","N/A",3,"1706477158.37632","Yes","I have no real feelings about the defendant.","Yes","50","100","About 999 chances in 1,000","8","innocent,5,1000","9mm","100"
"125","Woman","26 - 35","$50,000 - $59,999","Yes","Moderately Comfortable",2,"1706479498.95803",67.6658172626048,"1706479475.90516","Match","Some college","Democratic","Somewhat Liberal","No","OH","No","N/A",3,"1706479519.677","No","i don't know anything about the defendant. ","No","50","50","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","innocent,50,100","9mm","50"
"126","Man","26 - 35","$60,000 - $69,999","No","Extremely Comfortable",2,"1706479614.96185",59.8427996505052,"1706479579.80858","Match","Professional degree","Democratic","Very Liberal","No","IN","No","N/A",3,"1706479639.84829","No","The defendant could have been this gun, but the testimony we read was related to the bullet and the gun. My feelings on the defendant are almost unknown.","No","50","50","1 chance in 2 (fifty-fifty chance)","3","innocent,1,2","9mm","50"
"127","Woman","36 - 45","$30,000 - $39,999","No","Extremely Uncomfortable",2,"1706479636.50399",24.7597621986642,"1706479585.23231","NoMatch","4 year degree","Democratic","Somewhat Liberal","Yes","KS","No","N/A",3,"1706479654.36566","No","I think that the gun alone is not proof of the defendant's guilt.  The firearm expert is about 100% certain that the bullets are from two different guns which means that the defendant did't fire the bullet in the convenience store.","No","25","16","About 1 chance in 1,000","2","innocent,5,5","9mm","40"
"128","Man","36 - 45","$50,000 - $59,999","Yes","Moderately Comfortable",3,"1706480080.19241",65.8484103856608,"1706479303.26201","Match","2 year degree","Democratic","Very Liberal","Yes","MI","No","N/A",4,"1706480132.82041","Yes","I think he's rather wreckless to be driving around with a gun he used attempt a robbery 2 days ago.","Yes","25","75","About 9 chances in 10","8","innocent,2,100","9mm","85"
"129","Woman","56 - 65","$50,000 - $59,999","Yes","Moderately Comfortable",2,"1706480607.3314",42.3998474143445,"1706480574.10346","NoMatch","Some college","Republican","Somewhat Conservative","No","MO","No","N/A",3,"1706480628.59859","No","I think he was most likely not  the person who commited the aforementioned crime and is therefore not guilty.","No","50","2","About 1 chance in 100","1 Not at all strong","guilty,1,100","9mm","1"
"130","Woman","18 - 25","$30,000 - $39,999","No","Extremely Uncomfortable",2,"1706481805.3341",13.1648068316281,"1706481778.09293","Match","4 year degree","Democratic","Very Liberal","No","WI","No","N/A",3,"1706481825.32121","Yes","I do not know anything about the defendant beyond the likelihood that they committed the crime, so beyond thinking they are guilty I do not have thoughts on them.","Yes","40","97","About 99 chances in 100","9 Extremely strong","guilty,94,100","9mm","94"
"131","Woman","36 - 45","$80,000 - $89,999","Yes","Moderately Comfortable",2,"1706481906.06346",68.4388663852587,"1706481863.64035","Match","2 year degree","Republican","Somewhat Conservative","Yes","TN","No","N/A",3,"1706481938.40855","Yes","That he was the one who fired the firearm.","Yes","45","97","About 9 chances in 10","8","guilty,9,10","9mm","96"
"132","Woman","56 - 65","$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",2,"1706481964.21309",24.0024342900142,"1706481752.45587","NoMatch","Some college","Democratic","Middle of the Road","No","NY","No","N/A",3,"1706482043.89331","No","Unable to determine if the bullets came from the same gun","No","10","50","About 9 chances in 10","9 Extremely strong","guilty,90,100","9mm","90"
"133","Woman","56 - 65","$100,000 - $149,999","No","Moderately Uncomfortable",2,"1706481983.08732",32.1683245012537,"1706481857.56487","NoMatch","Professional degree","Democratic","Somewhat Liberal","No","FL","No","N/A",3,"1706482003.46574","No","I cannot conclude that this defendant fired the gun, or that they were even the same person that was at the crime scene.","No","25","48","1 chance in 2 (fifty-fifty chance)","2","innocent,4,10","9mm","50"
"134","Man","18 - 25","$100,000 - $149,999","No","Moderately Comfortable",2,"1706483194.79367",84.1249043587595,"1706483112.21389","NoMatch","Some college","No consistent preference","Middle of the Road","No","CA","No","N/A",3,"1706483230.86742","No","I think the defendant was just unlucky. I believe sincerely that he was not the one who shot the gun. ","No","40","2","About 1 chance in 100","8","guilty,1,40","9mm","2"
"135","Man","26 - 35","Less than $10,000","No","Moderately Comfortable",2,"1706486747.68406",24.2797555867583,"1706486726.96992","NoMatch","2 year degree","Republican","Somewhat Conservative","No","AZ","No","N/A",4,"1706486770.31735","No","The defendent likely had nothing to do with the robbery. It seems like they were arrested for havving a similar gun to the one used in the robbery. ","No","45","2","About 1 chance in 100","1 Not at all strong","innocent,97,100","9mm","3"
"136","Woman","46 - 55","$90,000 - $99,999","No","Extremely Uncomfortable",2,"1706486865.81875",99.1285411408171,"1706486840.41265","NoMatch","4 year degree","Republican","Somewhat Conservative","No","OH","No","N/A",3,"1706486894.1112","No","I think that the defendant is not guilty of this crime but he is guilty of speeding 2 days later.","No",NA,NA,NA,NA,NA,NA,NA
"137","Woman","36 - 45","$20,000 - $29,999","No","Moderately Comfortable",2,"1706487055.56725",62.1832648059353,"1706487035.16319","Match","4 year degree","No consistent preference","Somewhat Liberal","Yes","NC","No","N/A",3,"1706487083.39967","Yes","That he is the one who attempted to rob the convenience store.","Yes","45","50","About 9,999 chances in 10,000","9 Extremely strong","innocent,1.5,9.73e+11","9mm","93"
"138","Woman","46 - 55","$90,000 - $99,999","No","Extremely Uncomfortable",2,"1706487817.9233",98.7550501478836,"1706487788.91264","Match","4 year degree","Republican","Somewhat Conservative","No","OH","No","N/A",3,"1706487840.09832","No","I think the defendant is not guilty of the shooting but is guilty of speeding 2 days after the event.","No","50","3","About 1 chance in 1,000","1 Not at all strong","innocent,90,100","9mm","4"
"139","Woman","46 - 55","$70,000 - $79,999","No","Moderately Uncomfortable",2,"1706488078.99815",54.6797709772363,"1706488017.19187","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","IL","Yes","Yes",3,"1706488101.8358","No","He may or may not be guilty of traffic offense. There's nothing to indicate that he was in the area, matches a description, or was in any way involved in the attempted robbery.","No","50","2","About 1 chance in 10,000","1 Not at all strong","innocent,9999,10000","9mm","1"
"140","Woman","36 - 45","$80,000 - $89,999","Yes","Moderately Comfortable",2,"1706488424.91888",76.4268289553002,"1706488367.70872","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","NC","No","N/A",3,"1706488450.17183","No","The defendant may or may not be the person who fired the gun in the store, but it cannot be proven without doubt.  In this case, the defendant is only guilty of violating traffic law.","No","40","6","About 1 chance in 100","2","guilty,3,100","9mm","4"
"141","Woman","36 - 45","$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",2,"1706489658.75567",78.7962265778333,"1706489513.25103","NoMatch","Some college","Democratic","Somewhat Liberal","No","WI","No","N/A",3,"1706489689.45919","No","I think that the defendant did not use this gun to commit this crime.","No","50","23","About 1 chance in 10,000","2","guilty,1,10000","9mm","10"
"142","Man","36 - 45","$100,000 - $149,999","No","Moderately Uncomfortable",2,"1706489814.01467",85.9030025312677,"1706489770.5993","Match","Professional degree","Democratic","Somewhat Liberal","No","OR","No","N/A",3,"1706489835.39795","Yes","He is unstable and should be locked up and have his gun confiscated.  ","Yes","45","89","About 9 chances in 10","7","guilty,19,20","9mm","88"
"143","Man","36 - 45","Less than $10,000","No","Moderately Uncomfortable",2,"1706489948.85292",45.0317180715501,"1706489919.5452","Match","Some college","Democratic","Very Liberal","No","WA","No","N/A",3,"1706489969.77238","No","I don’t have enough information to come to a conclusion about the defendant","Yes","25","84","About 9 chances in 10","6","guilty,9,10","9mm","76"
"144","Man","26 - 35","$70,000 - $79,999","No","Moderately Comfortable",2,"1706491150.98413",9.44597728084773,"1706490995.27139","Match","Some college","Republican","Very Conservative","No","CA","No","N/A",3,"1706491168.787","No","It is possible he used the gun as much as someone he knew used the gun, with or without his knowledge. I would be more convinced if the firearm was found to have been fired recently prior to the test firing and/or it was missing a bullet from its magazine.","No","25","50","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","innocent,5,10","9mm","50"
"145","Man","26 - 35","$60,000 - $69,999","Yes","Moderately Comfortable",2,"1706491258.38085",76.0774562601,"1706491182.15099","NoMatch","Professional degree","No consistent preference","Very Conservative","No","NH","No","N/A",3,"1706491275.1818","No","Defendant speeds, but did not fire the bullet.","No","45","19","About 1 chance in 1,000","1 Not at all strong","innocent,5,6","9mm","15"
"146","Woman","18 - 25","$50,000 - $59,999","No","Moderately Uncomfortable",2,"1706491386.90502",4.08463580533862,"1706491313.28734","NoMatch","Some college","Democratic","Very Liberal","Yes","NE","No","N/A",3,"1706491423.2424","No","based on the testimony of the firearms examiner, and that there is no actual evidence proving the defendant to be guilty other than owning the same mm gun, I would say not guilty. ","No","45","4","About 1 chance in 10,000","1 Not at all strong","guilty,5,100","9mm","4"
