"","race","gender","age","income","gunown","guncomfort","time.x","fingerprint","educ","vote","poli","arrest","state","jury","jurycrim","time.y"
"134","Black or African American","Male",76,"$20,000 - $29,999","Yes","Moderately Comfortable",1658321772.78822,"58957e223b9a8d65be1069d46af8fd28","4 year degree","Democratic","Very Liberal","No","MA","Yes","No",1658321848.61802
"135","White","Male",56,"$20,000 - $29,999","No","Extremely Comfortable",1658321879.28523,"3e12103e7e65ef7d753ca53b45921c35","Some college","No consistent preference","Somewhat Liberal","No","OH","No","N/A",1658321912.94472
"136","White","Male",73,"$100,000 - $149,999","No","Extremely Uncomfortable",1658321879.5207,"917cacf464ee4dae7a33deee5e6b5ff9","4 year degree","No consistent preference","Somewhat Liberal","No","VT","Yes","No",1658321918.62334
"137","White","Male",27,"$60,000 - $69,999","No","Extremely Uncomfortable",1658321989.95675,"2a851bbaa2f9d8908ac3baeb1266e941","Professional degree","Democratic","Very Liberal","No","FL","No","N/A",1658322002.54182
"138","Black or African American","Male",58,"$30,000 - $39,999","Yes","Moderately Comfortable",1658322063.27147,"e7f5429e49dbaeedc95fb8ce768841c7","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658322111.38531
"139","White","Female",65,"$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1658322093.39258,"14f85b5b548e17aa84e960e9b6c766a4","2 year degree","Republican","Very Conservative","No","NY","No","N/A",1658322131.67597
"140","Black or African American","Female",31,"$30,000 - $39,999","No","Extremely Comfortable",1658322114.94193,"7f89390aa4c9b0e4d676bb5ff5c313e3","Some college","Democratic","Somewhat Liberal","Yes","NY","No","N/A",1658322134.91797
"142","White","Male",32,"$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1658322344.37452,"cdf2b9366787e7625b22167ebd420da7","4 year degree","No consistent preference","Middle of the Road","No","NJ","No","N/A",1658322414.67226
"143","White","Female",28,"$50,000 - $59,999","No","Extremely Uncomfortable",1658322413.29467,"4b1f7e9e5c29642bb2c45e8f027effcf","4 year degree","Democratic","Somewhat Liberal","Yes","FL","No","N/A",1658322431.11535
"144","Black or African American","Female",37,"$70,000 - $79,999","No","Extremely Uncomfortable",1658322422.76231,"9bef2a9ba0a8847b1d854041b5657ced","2 year degree","Democratic","Very Liberal","Yes","PA","No","N/A",1658322458.71264
"145","White","Female",25,"$40,000 - $49,999","Yes","Extremely Comfortable",1658322481.17427,"b20aa732e06842e56bd3f3b4173dc436","2 year degree","Republican","Somewhat Conservative","No","GA","Yes","Yes",1658322516.91072
"146","White","Other/non-binary",49,"Less than $10,000","No","Extremely Uncomfortable",1658322878.73363,"697d678ea2d2c14122e62f548c9cd094","Professional degree","Democratic","Very Liberal","Yes","GA","No","N/A",1658322906.25387
"147","White","Male",25,"$70,000 - $79,999","No","Moderately Comfortable",1658322944.43266,"7b5a14bb609409751213806770099c6a","4 year degree","No consistent preference","Middle of the Road","No","NY","No","N/A",1658322964.12063
"148","White","Male",52,"$80,000 - $89,999","Yes","Extremely Comfortable",1658323011.93697,"a2bf766343822c1c486819a4f9710ce5","Professional degree","Republican","Very Conservative","Yes","MA","Yes","Yes",1658323055.17015
"149","White","Female",32,"$60,000 - $69,999","No","Slightly Uncomfortable",1658323066.25677,"48189a737e867783cab222628c003a05","High school graduate","Democratic","Somewhat Liberal","No","OK","No","N/A",1658323079.67488
"150","White","Other/non-binary",33,"Less than $10,000","No","Slightly Comfortable",1658323122.91797,"bea4e780a88fefbd15a50cbc254b9218","4 year degree","Republican","Middle of the Road","No","IL","No","N/A",1658323181.78095
"151","White","Male",39,"$100,000 - $149,999","No","Extremely Uncomfortable",1658324127.78012,"c9a722545db3546ea40b13dc0b9c4254","4 year degree","Democratic","Somewhat Liberal","No","NJ","No","N/A",1658324155.47343
"152","White","Female",NA,"$80,000 - $89,999","No","Extremely Uncomfortable",1658324421.98444,"a678a4b0c3a3c3aa2fd11cb6a0e8ef6e","4 year degree","Democratic","Very Liberal","No","PA","No","N/A",1658324439.99613
"153","White","Male",51,"$90,000 - $99,999","Yes","Extremely Comfortable",1658324434.92492,"21df59a6368ccfa6232cf443f265413d","Doctorate","Republican","Somewhat Conservative","Yes","TX","Yes","No",1658324462.05052
"154","White","Female",27,"$70,000 - $79,999","No","Slightly Comfortable",1658324478.31025,"b8b7972f5f14c1db5fa6b3f287243cb1","4 year degree","Democratic","Very Liberal","No","OH","No","N/A",1658324502.17151
"155","White","Female",47,"$30,000 - $39,999","No","Neither Comfortable nor Uncomfortable",1658324524.98153,"08b825057bf29036830ebce974675527","Some college","No consistent preference","Middle of the Road","No","MI","No","N/A",1658324554.58063
"156","White","Male",30,"More than $150,000","No","Slightly Uncomfortable",1658324579.16509,"38d46e878fc358a476a59e31a6e3b0bb","4 year degree","Republican","Somewhat Conservative","No","TN","No","N/A",1658324597.18702
"157","White","Male",29,"$60,000 - $69,999","No","Slightly Uncomfortable",1658324597.29851,"fa94007195bee9b226bc4dffa593c8eb","Professional degree","Democratic","Very Liberal","No","TN","No","N/A",1658324627.7038
"158","White","Female",60,"$60,000 - $69,999","No","Extremely Uncomfortable",1658324831.41495,"aacdcb7f0e97d7132a512b10b64e5631","4 year degree","Democratic","Somewhat Liberal","Yes","AZ","No","N/A",1658324851.20492
"159","White","Female",47,"$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1658324852.13359,"930cb2b17cc7f481fbce02ba2ba7f780","4 year degree","Republican","Somewhat Conservative","Yes","PA","No","N/A",1658324909.80458
"160","White","Female",39,"More than $150,000","No","Slightly Comfortable",1658324867.7401,"9dec1ba62debc5cbe097e06e5038b2ff","Doctorate","No consistent preference","Somewhat Conservative","No","MA","No","N/A",1658324884.40581
"161","White","Male",29,"$100,000 - $149,999","No","Slightly Comfortable",1658324871.28561,"d10db9594b64970464d5f0c856c8d788","Doctorate","Democratic","Very Liberal","No","VA","No","No",1658324890.95775
"162","White","Female",45,"$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1658324873.58884,"a9478aad4eefe2901f1d0b0a37d6160f","4 year degree","No consistent preference","Somewhat Conservative","Yes","NY","No","N/A",1658324901.04214
"163","White","Female",59,"More than $150,000","No","Neither Comfortable nor Uncomfortable",1658324917.59753,"55ee88b3c5ade41dc72c1d29f4129bca","Professional degree","Republican","Somewhat Conservative","No","OH","Yes","Yes",1658324961.11088
"164","White","Female",61,"$40,000 - $49,999","No","Extremely Uncomfortable",1658324942.87065,"3ea2c991d04f65bf3cc4685117b5f640","Some college","Republican","Somewhat Conservative","No","IN","No","N/A",1658324978.48679
"165","White","Male",32,"$100,000 - $149,999","No","Extremely Uncomfortable",1658325791.37768,"e4552fa0aab7bfc2a85e417f1b94a5b3","Doctorate","Democratic","Very Liberal","No","RI","No","N/A",1658325808.38181
"166","White","Female",30,"$50,000 - $59,999","No","Extremely Comfortable",1658325856.28156,"53f86fe6dc83ffabcde647d2a14eae02","Professional degree","No consistent preference","Middle of the Road","No","NC","No","N/A",1658325882.28367
"167","White","Male",55,"$10,000 - $19,999","Yes","Extremely Comfortable",1658325902.13967,"e74cab9beff673a6dc7d0ae47ec2b0f7","4 year degree","Republican","Somewhat Conservative","Yes","OH","No","N/A",1658325931.43297
"168","Black or African American","Male",NA,"$30,000 - $39,999","No","Slightly Comfortable",1658325951.62428,"558754dc05a21bdc90830343e8ed5967","4 year degree","Democratic","Very Liberal","No","NY","No","N/A",1658325974.64122
"169","Black or African American","Female",58,"$50,000 - $59,999","No","Moderately Comfortable",1658326116.3273,"e83f2b25d7604ac28a28219ab10ccbd3","Some college","Democratic","Somewhat Conservative","No","FL","No","N/A",1658326162.55817
"170","Hispanic","Male",51,"$40,000 - $49,999","No","Slightly Uncomfortable",1658326118.58204,"50491a715bb2c8f1f79e2a9472341e25","4 year degree","Democratic","Middle of the Road","No","CA","Yes","Yes",1658326147.5807
"171","White","Male",36,"More than $150,000","Yes","Slightly Comfortable",1658326163.86952,"8b9aba96363aca8a0050ead3f75eacc9","4 year degree","Republican","Very Conservative","No","OH","Yes","Yes",1658326182.71652
"172","White","Female",28,"$80,000 - $89,999","No","Slightly Uncomfortable",1658326174.87771,"bca200d69a398bfccbadb23e71b3efe1","4 year degree","No consistent preference","Middle of the Road","Yes","MD","No","N/A",1658326217.05728
"173","Black or African American","Male",NA,"$30,000 - $39,999","No","Slightly Comfortable",1658326212.53417,"7999e6838a6a5ce24c4455114b22b21f","Some college","Democratic","Middle of the Road","No","IL","Yes","No",1658326265.38709
"174","White","Male",40,"$40,000 - $49,999","Yes","Moderately Comfortable",1658326262.27278,"036bbda3348a536b1c74c79455cb61b8","Some college","Republican","Somewhat Conservative","Yes","TX","No","N/A",1658326277.58334
"175","White","Male",NA,"$30,000 - $39,999","Yes","Extremely Comfortable",1658326267.85115,"bac744abc40332efc2ec7573ce0cbe6d","High school graduate","Republican","Somewhat Conservative","No","OH","No","N/A",1658326308.50266
"176","White","Female",32,"$20,000 - $29,999","No","Moderately Comfortable",1658326329.02401,"0999d3e11bc533a603a701a66a9f9c35","4 year degree","No consistent preference","Somewhat Liberal","Yes","FL","No","N/A",1658326355.89627
"177","White","Male",34,"$40,000 - $49,999","No","Slightly Uncomfortable",1658326505.88269,"1d0279d90658c6d83f85dc64859f4878","High school graduate","Democratic","Somewhat Liberal","No","NJ","No","N/A",1658326537.54388
"178","White","Female",61,"$40,000 - $49,999","No","Slightly Uncomfortable",1658328052.21028,"15419cea877235709afe9c355cb7afce","4 year degree","Republican","Somewhat Conservative","No","NJ","No","N/A",1658328080.29043
"179","White","Female",NA,"$90,000 - $99,999","No","Slightly Comfortable",1658328096.26047,"3d3ab949a9f38f47ce704df005311b9a","4 year degree","Democratic","Somewhat Liberal","No","MA","No","N/A",1658328112.17496
"180","White","Female",NA,"More than $150,000","No","Slightly Uncomfortable",1658328352.00133,"67b04cc046ac53a9a3718cc3779f8c03","4 year degree","Democratic","Very Liberal","No","OH","No","N/A",1658328364.55139
"181","White","Female",54,"More than $150,000","Yes","Extremely Comfortable",1658328389.85061,"a7b17446f9a8757e2495f22badf1ad04","4 year degree","No consistent preference","Somewhat Conservative","Yes","NC","Yes","No",1658328417.51864
"182","White","Male",63,"$80,000 - $89,999","No","Neither Comfortable nor Uncomfortable",1658328474.35531,"4573c6dd3617edbb2d408cff8bbc49cd","Professional degree","Democratic","Somewhat Liberal","No","CO","Yes","Yes",1658328502.76199
"183","White","Female",31,"$10,000 - $19,999","No","Slightly Uncomfortable",1658328533.2502,"6ca8b7bfa6d8d3bfcdf4fc5f8b2f0e7c","4 year degree","Democratic","Very Liberal","No","PA","No","N/A",1658328559.87585
"184","White","Male",NA,"$60,000 - $69,999","Yes","Extremely Comfortable",1658328560.12934,"a4fa001e60adb471b0d09aa10ea1ff33","Some college","Democratic","Middle of the Road","No","FL","Yes","No",1658328601.36787
"185","White","Female",39,"More than $150,000","No","Extremely Uncomfortable",1658328580.79778,"75c7fc5ca00203ff593c0f3c6c9aa028","4 year degree","Democratic","Very Liberal","No","NY","No","N/A",1658328599.40922
"186","White","Female",NA,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658328917.92399,"5d3c76c950ab4ccc582692127c7b95be","Some college","Democratic","Very Liberal","Yes","AR","No","N/A",1658328942.07949
"187","White","Female",56,"$30,000 - $39,999","No","Extremely Uncomfortable",1658329062.37738,"fbe1b4559c63d1d9f4683a08172d08f2","High school graduate","No consistent preference","Somewhat Liberal","Yes","WI","No","No",1658329095.9597
"188","White","Male",NA,"More than $150,000","No","Slightly Comfortable",1658329202.46242,"987bb63018a9038c7baa0636d0ce14b9","Professional degree","Democratic","Very Liberal","No","PA","No","N/A",1658329236.99905
"189","White","Male",24,"More than $150,000","No","Moderately Comfortable",1658330273.55984,"6831cd2c76e82038a34155d775852e96","4 year degree","Democratic","Somewhat Liberal","No","NC","No","N/A",1658330292.42737
"190","White","Female",75,"More than $150,000","Yes","Neither Comfortable nor Uncomfortable",1658330628.99144,"a68cf1a284189a8c0379ab9062a3ac6c","Some college","Democratic","Very Liberal","No","PA","No","N/A",1658330662.53906
"191","White","Male",31,"More than $150,000","No","Slightly Uncomfortable",1658330738.50178,"b367b9d2a3ab78b8e2afdc15ce6dddc7","4 year degree","Democratic","Somewhat Liberal","No","IL","No","N/A",1658330756.08459
"192","Asian","Female",29,"$40,000 - $49,999","No","Extremely Uncomfortable",1658330893.83191,"adefa5970fd29c3b906ac29c4e9abf10","4 year degree","Democratic","Somewhat Liberal","No","NY","No","N/A",1658330924.2908
"193","Hispanic","Male",58,"$90,000 - $99,999","Yes","Extremely Comfortable",1658330955.07023,"06c88a632ab10127f24789505dcb7865","4 year degree","Republican","Somewhat Conservative","No","FL","No","N/A",1658330976.90757
"194","White","Female",NA,"$40,000 - $49,999","No","Slightly Uncomfortable",1658331013.83032,"9933873c12e16fc900f5727ae2802638","4 year degree","Republican","Somewhat Conservative","No","WA","Yes","Yes",1658331042.73799
"195","White","Male",78,"$30,000 - $39,999","Yes","Moderately Comfortable",1658331436.07687,"75e1e9124683c2ac7f881b19ded83be5","Some college","No consistent preference","Somewhat Liberal","Yes","WA","Yes","Yes",1658331476.81177
"196","Black or African American","Male",32,"$20,000 - $29,999","No","Slightly Uncomfortable",1658331593.21885,"b604fa81c1def9e042dc061c204e5a0b","4 year degree","Democratic","Somewhat Liberal","No","KY","No","N/A",1658331612.88428
"197","White","Female",40,"$30,000 - $39,999","No","Slightly Comfortable",1658331687.68881,"5939d0880616bda5786d9cb71eb57f79","Some college","Democratic","Somewhat Liberal","No","MS","No","N/A",1658331705.81358
"198","White","Male",28,"$70,000 - $79,999","No","Slightly Uncomfortable",1658331902.87969,"66dbbd5c6aa0f96c2bcbb901e4bf536f","4 year degree","Republican","Very Conservative","No","CO","No","N/A",1658331965.47967
"199","White","Male",38,"$100,000 - $149,999","No","Extremely Uncomfortable",1658331954.32688,"8ba97554365c92c43f13bcc50ef6ba8a","4 year degree","Democratic","Somewhat Liberal","No","NY","No","N/A",1658331972.89099
"200","White, Asian","Male",22,"$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1658332033.9616,"b672aaab9a36c8e923ddb8206d2650d7","Some college","Democratic","Very Liberal","Yes","MD","Yes","No",1658332050.67604
"201","White","Female",64,"$90,000 - $99,999","Yes","Moderately Comfortable",1658332096.70494,"4bf462cf0df3e6d8acb6f512ab4ef97f","4 year degree","Republican","Somewhat Conservative","Yes","TX","No","N/A",1658332122.34724
"202","White","Male",33,"$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1658332104.50277,"8813cb70907162059a674e196567f9bb","4 year degree","Democratic","Somewhat Liberal","No","FL","No","N/A",1658332124.90296
"203","White","Female",26,"$10,000 - $19,999","No","Slightly Uncomfortable",1658332127.86524,"28219119841ca168e0e1b127034dff96","2 year degree","Republican","Somewhat Conservative","No","MN","No","N/A",1658332178.31118
"204","Asian","Male",58,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658332132.0289,"0d210f7ba2c885d36f94a63092078837","2 year degree","Republican","Very Conservative","No","CA","No","N/A",1658332151.65798
"205","White","Male",58,"More than $150,000","No","Moderately Comfortable",1658332964.59893,"b1ca88c3c5a7d5f2a27a5a65bd3f1970","Professional degree","Democratic","Very Liberal","No","CA","Yes","Yes",1658332991.67348
"206","White","Female",50,"$60,000 - $69,999","Yes","Moderately Comfortable",1658333156.69041,"b4ac310b83f8b41e3c7b89fad03b3a91","2 year degree","Republican","Somewhat Conservative","No","SC","Yes","No",1658333194.74565
"207","White","Female",NA,"$30,000 - $39,999","No","Slightly Comfortable",1658333183.75679,"65ba697c17bc9fb0535956b5ee76b12e","High school graduate","Republican","Somewhat Conservative","No","WA","Yes","No",1658333227.11768
"208","White","Female",NA,"$30,000 - $39,999","No","Slightly Comfortable",1658333183.75679,"65ba697c17bc9fb0535956b5ee76b12e","High school graduate","Republican","Somewhat Conservative","No","WA","Yes","No",1658338816.75394
"209","Asian","Female",26,"$70,000 - $79,999","No","Extremely Uncomfortable",1658333186.28272,"713ab57a1d4a285e8d94852c214eb5c8","Professional degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658333205.39021
"210","White","Male",69,"$10,000 - $19,999","Yes","Extremely Comfortable",1658333191.1052,"dfb7e263a1f879fd70db4855eb08b440","High school graduate","Republican","Very Conservative","Yes","KY","No","N/A",1658333233.14388
"211","White","Female",37,"$80,000 - $89,999","Yes","Slightly Comfortable",1658333331.41518,"642d497661c84dac328438a2bf0709e4","Professional degree","Democratic","Somewhat Liberal","Yes","TX","No","N/A",1658333351.84897
"212","White","Female",37,"$80,000 - $89,999","Yes","Slightly Comfortable",1658333331.41518,"642d497661c84dac328438a2bf0709e4","Professional degree","Democratic","Somewhat Liberal","Yes","TX","No","N/A",1658334470.28362
"213","White","Female",28,"$50,000 - $59,999","Yes","Slightly Uncomfortable",1658333361.07647,"9fdb4606e9836956dca30114ef3e646f","4 year degree","No consistent preference","Somewhat Liberal","No","TN","No","N/A",1658333398.73265
"214","White","Female",33,"$60,000 - $69,999","No","Extremely Uncomfortable",1658333375.52429,"f7cffd28a71399710dda7b4e77937be2","Professional degree","Democratic","Somewhat Liberal","Yes","CT","No","N/A",1658333395.93448
"215","White","Male",27,"Less than $10,000","No","Slightly Uncomfortable",1658333443.15969,"fd4e13d85b0647c8bf52a5c586d01154","High school graduate","Democratic","Somewhat Liberal","Yes","VA","No","N/A",1658333475.08626
"216","White","Female",NA,"$50,000 - $59,999","No","Extremely Uncomfortable",1658334324.3518,"c89c26a2a207e5bd31823ddaa8c14cae","4 year degree","Democratic","Very Liberal","Yes","PA","No","N/A",1658334344.46957
"217","Hispanic","Male",32,"$40,000 - $49,999","No","Extremely Uncomfortable",1658334367.31085,"61b10d96866dfbd361c4fda4635097e8","4 year degree","Democratic","Very Liberal","No","MI","No","N/A",1658334389.64117
"218","White","Female",50,"$70,000 - $79,999","No","Slightly Comfortable",1658334395.01864,"76a7897bf371dff1db8b56e496b26644","Some college","Democratic","Somewhat Liberal","Yes","NC","No","N/A",1658334432.26056
"219","Asian","Female",28,"$80,000 - $89,999","No","Slightly Comfortable",1658334401.1055,"18437cb315aa8b7efe8d32970680f5ea","4 year degree","Democratic","Somewhat Liberal","No","CA","Yes","No",1658334423.27214
"220","White","Female",26,"$30,000 - $39,999","No","Slightly Uncomfortable",1658334416.06583,"749b82dc03550e56434120ac35c7961f","Professional degree","Democratic","Very Liberal","No","MN","No","N/A",1658334436.51634
"221","White","Female",37,"$80,000 - $89,999","Yes","Slightly Comfortable",1658334469.68471,"642d497661c84dac328438a2bf0709e4","Professional degree","Democratic","Somewhat Liberal","Yes","TX","No","N/A",1658333351.84897
"222","White","Female",37,"$80,000 - $89,999","Yes","Slightly Comfortable",1658334469.68471,"642d497661c84dac328438a2bf0709e4","Professional degree","Democratic","Somewhat Liberal","Yes","TX","No","N/A",1658334470.28362
"223","White","Female",31,"$60,000 - $69,999","Yes","Slightly Comfortable",1658334499.78171,"42a472eaad328b4c926ca01bd0fcdeb2","High school graduate","Democratic","Very Liberal","No","VA","No","N/A",1658334527.5638
"224","White","Male",66,"$100,000 - $149,999","Yes","Extremely Comfortable",1658334589.90923,"9ba314fb4f9096dcbe36655593d2d103","4 year degree","Republican","Middle of the Road","No","CA","Yes","Yes",1658334623.54199
"225","White","Female",30,"$80,000 - $89,999","Yes","Slightly Uncomfortable",1658334631.10511,"a694daec8db38c9e89fa1ca6e3ee2fb4","Professional degree","Democratic","Somewhat Liberal","No","AL","No","N/A",1658334646.36655
"226","White","Male",39,"$60,000 - $69,999","No","Slightly Comfortable",1658334662.67257,"ae8c5e1ee8007c385710ff3e6be70e8d","4 year degree","Democratic","Somewhat Liberal","No","TN","No","N/A",1658334685.42744
"228","White","Female",21,"$20,000 - $29,999","No","Slightly Uncomfortable",1658334809.28143,"a0e0d37341b45ac88269c2006ee170d6","4 year degree","Democratic","Very Liberal","No","SC","No","N/A",1658334852.60027
"229","White","Female",18,"$20,000 - $29,999","No","Slightly Uncomfortable",1658335926.77229,"669f58b1da5697a655b60a7561168664","4 year degree","Democratic","Somewhat Liberal","No","NC","No","N/A",1658335951.57597
"230","White","Female",27,"$30,000 - $39,999","No","Extremely Uncomfortable",1658336092.13099,"05a9627a283c6117f75f17ad56b8c419","4 year degree","Democratic","Very Liberal","No","MD","No","N/A",1658336110.50895
"231","White","Male",32,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658336242.70803,"021107192751c2317814f961002f8ec0","Some college","No consistent preference","Middle of the Road","No","MS","No","N/A",1658336260.74076
"232","Black or African American","Female",22,"$10,000 - $19,999","No","Slightly Uncomfortable",1658336290.43709,"e063ebe4adbf7fdc0830f617ccdafb04","High school graduate","Democratic","Very Liberal","No","IL","No","N/A",1658336314.69809
"233","White","Female",58,"$30,000 - $39,999","No","Moderately Comfortable",1658336299.22994,"dfe0d8a95366abee4f42873ccf9dee13","Professional degree","Democratic","Very Liberal","No","MI","No","N/A",1658336333.20269
"234","White","Female",60,"$70,000 - $79,999","Yes","Extremely Comfortable",1658336303.36872,"9a8d404004cc2e3e96e177e93965fb43","Some college","Republican","Somewhat Liberal","Yes","IN","No","N/A",1658336328.85881
"235","White, Black or African American, Hispanic","Female",20,"Less than $10,000","No","Extremely Uncomfortable",1658336361.42163,"a25fb93bc85790842fbbc20fb33f439c","Some college","Democratic","Somewhat Liberal","No","NJ","No","N/A",1658336379.28779
"236","White","Female",28,"$100,000 - $149,999","No","Slightly Uncomfortable",1658336365.4493,"a7fe769eeea9144752c62c43ff9100f1","4 year degree","Democratic","Middle of the Road","No","NY","Yes","No",1658336397.66949
"237","White","Female",24,"Less than $10,000","No","Extremely Uncomfortable",1658336411.88169,"75239f1d55a2a66ab61b7923decacbb3","Some college","Democratic","Somewhat Liberal","No","NY","No","N/A",1658336429.62862
"238","White","Female",74,"$40,000 - $49,999","No","Extremely Uncomfortable",1658336437.22875,"d7159992a2f46a950ba3cc630661b1d8","Some college","No consistent preference","Middle of the Road","Yes","NJ","Yes","Yes",1658336474.55629
"239","White","Male",30,"$30,000 - $39,999","No","Slightly Uncomfortable",1658336760.23332,"2b4fde7ba9a697f9ef9c27009e5257f2","Professional degree","Democratic","Very Liberal","Yes","CT","No","N/A",1658336789.62356
"240","Black or African American","Male",25,"$20,000 - $29,999","No","Moderately Comfortable",1658337476.02294,"93e29f7d3abd48d92a13c8510b61a988","Some college","No consistent preference","Middle of the Road","No","FL","No","N/A",1658337495.07247
"241","White","Female",34,"More than $150,000","No","Extremely Uncomfortable",1658337544.03536,"7387663eca6ba5161d1c58711dd65164","Professional degree","Democratic","Very Liberal","No","MA","No","N/A",1658337557.03542
"242","White","Female",21,"$10,000 - $19,999","No","Extremely Uncomfortable",1658337616.62805,"f74b0ddc0ceb951c0493b477c18372f1","4 year degree","Democratic","Very Liberal","Yes","NJ","No","No",1658337713.2018
"243","White","Female",21,"$10,000 - $19,999","No","Extremely Uncomfortable",1658337616.62805,"f74b0ddc0ceb951c0493b477c18372f1","4 year degree","Democratic","Very Liberal","Yes","NJ","No","N/A",1658340337.02882
"244","White","Male",27,"$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",1658337688.12508,"8cd69828db08d60ae17d9887106a7552","High school graduate","Democratic","Somewhat Liberal","No","PA","No","N/A",1658337709.11563
"245","White","Female",41,"$50,000 - $59,999","No","Extremely Uncomfortable",1658337906.80715,"9a0790bce63401a11740661b2dd6d03b","High school graduate","Democratic","Very Liberal","Yes","GA","No","N/A",1658337927.85695
"246","White","Male",23,"Less than $10,000","No","Moderately Comfortable",1658337913.76831,"47b5f3fc179c41d9847e3bf649af507c","High school graduate","Democratic","Very Liberal","Yes","FL","No","N/A",1658337931.5027
"247","White","Male",44,"$40,000 - $49,999","No","Slightly Comfortable",1658338337.99717,"bfd88885871caf0d4538b21e5ee4bb62","Some college","Republican","Somewhat Conservative","No","WA","No","N/A",1658338407.88186
"248","White","Female",26,"$40,000 - $49,999","No","Moderately Comfortable",1658338458.92072,"fd0f0993dd270b06239e68968341b26e","High school graduate","No consistent preference","Middle of the Road","Yes","TX","No","N/A",1658338474.00787
"249","White, Asian","Male",19,"More than $150,000","No","Extremely Uncomfortable",1658338511.61913,"d73f8ad4066476f0a62ad618dbb5fa46","Some college","Democratic","Very Liberal","No","CA","No","N/A",1658338551.1517
"250","White","Male",52,"$50,000 - $59,999","No","Slightly Uncomfortable",1658338512.23377,"9dac03973782e42d98eb8caccad097f6","4 year degree","Democratic","Very Liberal","No","NM","Yes","No",1658338545.28366
"252","White, Black or African American, Hispanic","Other/non-binary",35,"$30,000 - $39,999","No","Slightly Comfortable",1658338740.57231,"884b10b7f29d1a66036aeda44bc65cad","4 year degree","No consistent preference","Somewhat Liberal","No","TX","No","N/A",1658338769.04905
"253","White","Female",NA,"$30,000 - $39,999","No","Slightly Comfortable",1658338766.70316,"65ba697c17bc9fb0535956b5ee76b12e","High school graduate","Republican","Somewhat Conservative","No","WA","Yes","No",1658333227.11768
"254","White","Female",NA,"$30,000 - $39,999","No","Slightly Comfortable",1658338766.70316,"65ba697c17bc9fb0535956b5ee76b12e","High school graduate","Republican","Somewhat Conservative","No","WA","Yes","No",1658338816.75394
"255","White, Hispanic","Female",26,"$100,000 - $149,999","No","Extremely Uncomfortable",1658338798.06105,"8cd69828db08d60ae17d9887106a7552","4 year degree","Democratic","Somewhat Liberal","No","PA","No","N/A",1658338811.22443
"256","White","Female",28,"$90,000 - $99,999","No","Extremely Uncomfortable",1658339842.84607,"8d5ac700e4a8858158154d570295eb34","Professional degree","Democratic","Very Liberal","No","WA","No","N/A",1658339863.89042
"258","White","Female",34,"$60,000 - $69,999","Yes","Moderately Comfortable",1658340149.78033,"3ea2c991d04f65bf3cc4685117b5f640","2 year degree","Democratic","Middle of the Road","No","PA","No","N/A",1658340171.00288
"259","Asian","Male",36,"$70,000 - $79,999","No","Extremely Uncomfortable",1658340252.95493,"09a8011a910cb7278e531b4b7ac28ab8","4 year degree","Democratic","Very Liberal","No","CA","No","N/A",1658340303.44476
"260","White, American Indian or Alaska Native, Hispanic","Male",60,"Less than $10,000","Yes","Neither Comfortable nor Uncomfortable",1658340312.18115,"d1c89dae82b5e0e0f11c7d9929e6dffe","4 year degree","No consistent preference","Middle of the Road","No","TX","No","N/A",1658340372.4054
"261","White","Female",21,"$10,000 - $19,999","No","Extremely Uncomfortable",1658340326.02803,"f74b0ddc0ceb951c0493b477c18372f1","4 year degree","Democratic","Very Liberal","Yes","NJ","No","No",1658337713.2018
"262","White","Female",21,"$10,000 - $19,999","No","Extremely Uncomfortable",1658340326.02803,"f74b0ddc0ceb951c0493b477c18372f1","4 year degree","Democratic","Very Liberal","Yes","NJ","No","N/A",1658340337.02882
"263","White","Male",35,"More than $150,000","Yes","Neither Comfortable nor Uncomfortable",1658340449.44914,"7b855079a65bb867b67fb837566c689e","Professional degree","Democratic","Somewhat Liberal","No","TX","No","No",1658340484.29308
"264","White","Female",45,"$20,000 - $29,999","Yes","Moderately Comfortable",1658340520.59467,"258a2a272296db9937cdddccf546a96d","High school graduate","No consistent preference","Middle of the Road","No","NV","No","N/A",1658340542.50772
"265","White","Male",26,"$30,000 - $39,999","No","Slightly Uncomfortable",1658340593.7309,"84491f5bc0189087d8ff0b08f0fe004d","Professional degree","Democratic","Very Liberal","No","WA","No","N/A",1658340624.18517
"266","White","Female",21,"$90,000 - $99,999","No","Extremely Uncomfortable",1658340596.04848,"a81f0e6a1fefc4c528a3119ff4b7b09f","Some college","Democratic","Very Liberal","No","PA","No","N/A",1658340610.08069
